,Species,Body weight (kg),Brain weight (g)
0,Mountain Beaver,1.35,8.1
1,Cow,465.0,423.0
2,Grey Wolf,36.33,119.5
3,Goat,27.66,115.0
4,Guinea Pig,1.04,5.5
5,Diplodocus,11700.0,50.0
6,Asian Elephant,2547.0,4603.0
7,Donkey,187.1,419.0
8,Horse,521.0,655.0
9,Potar Monkey,10.0,115.0
10,Cat,3.3,25.6
11,Giraffe,529.0,680.0
12,Gorilla,207.0,406.0
13,Human,62.0,1320.0
14,African Elephant,6654.0,5712.0
15,Triceratops,9400.0,70.0
16,Rhesus Monkey,6.8,179.0
17,Kangaroo,35.0,56.0
18,Hamster,0.12,1.0
19,Mouse,0.023,0.4
20,Rabbit,2.5,12.1
21,Sheep,55.5,175.0
22,Jaguar,100.0,157.0
23,Chimpanzee,52.16,440.0
24,Brachiosaurus,87000.0,154.5
25,Rat,0.28,1.9
26,Mole,0.122,3.0
27,Pig,192.0,180.0
