ITEM	PRICE	DISPLAY	RETINA	CPU	CORE	MEM	SSD
MacBook Pro Retinaディスプレイ 2200/15.4 MGXA2J/A	176989	15.4	1	2200	4	16000	256
MacBook Pro Retinaディスプレイ 2500/15.4 MGXC2J/A	221939	15.4	1	2500	4	16000	256
MacBook Pro Retinaディスプレイ 2600/13.3 MGX72J/A	118501	13.3	1	2600	2	8000	128
MacBook Pro Retinaディスプレイ 2600/13.3 MGX82J/A	135932	13.3	1	2600	2	8000	256
MacBook Pro Retinaディスプレイ 2800/13.3 MGX92J/A	163436	13.3	1	2800	2	8000	512
MacBook Air 1400/11.6 MD711J/B	80137	11.6	0	1400	2	4000	128
MacBook Air 1400/11.6 MD712J/B	98398	11.6	0	1400	2	4000	256
MacBook Air 1400/13.3 MD760J/B	89790	13.3	0	1400	2	4000	128
MacBook Air 1400/13.3 MD761J/B	110426	13.3	0	1400	2	4000	256
MacBook Pro Retinaディスプレイ 2000/15.4 ME293J/A	173040	15.4	1	2000	4	8000	256
MacBook Pro Retinaディスプレイ 2300/15.4 ME294J/A	200999	15.4	1	2300	4	16000	512
MacBook Pro Retinaディスプレイ 2400/13.3 ME864J/A	112800	13.3	1	2400	2	4000	128
MacBook Pro Retinaディスプレイ 2400/13.3 ME865J/A	131500	13.3	1	2400	2	8000	256
MacBook Pro Retinaディスプレイ 2600/13.3 ME866J/A	144999	13.3	1	2600	2	8000	512
MacBook Air 1300/11.6 MD712J/A	93100	11.6	0	1300	2	4000	256
