Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio
1417,1094,0,1078,1108,,,1,,,,-2.7075812274
1605,1145,0,1134,1164,,,1,,,,-2.5773195876
1719,728,0,716,754,,,1,,,,-5.0397877984
1721,1464,0,1449,1505,,,1,,,,-3.7209302326
1722,829,0,823,837,,,1,,,,-1.6726403823
1801,765,0,751,787,,,1,,,,-4.5743329098
1802,977,0,970,1025,,,1,,,,-5.3658536585
1808,1412,0,1379,1458,,,1,,,,-5.4183813443
1812,646,0,635,661,,,1,,,,-3.9334341906
1878,12705,0,12510,12965,,,1,,,,-3.5094485152
1881,1954,0,1916,1982,,,1,,,,-3.3299697275
1911,1292,0,1283,1325,,,1,,,,-3.1698113208
1925,2777,0,2752,2907,,,1,,,,-5.3319573443
1928,1708,0,1688,1770,,,1,,,,-4.6327683616
1951,1212,0,1194,1224,,,1,,,,-2.4509803922
1952,942,0,918,942,,,1,,,,-2.5477707006
1963,1747,0,1735,1726,1,,1,,1,,0.5214368482
1983,1186,0,1169,1213,,,1,,,,-3.6273701566
2121,4380,1,4201,4275,,,,,,,-1.730994152
2131,1191,0,1174,1214,,,1,,,,-3.294892916
2181,4875,0,4833,4960,,,1,,,,-2.560483871
2229,4405,0,4365,4590,,,1,,,,-4.9019607843
2267,6550,0,6481,6790,,,1,,,,-4.5508100147
2269,18310,0,18145,19200,,,1,,,,-5.4947916667
2282,2665,0,2650,2772,,,1,,,,-4.4011544012
2294,1870,0,1835,1877,,,1,,,,-2.2376132126
2317,1086,0,1073,1100,,,1,,,,-2.4545454545
2327,4355,0,4219,4510,,,1,,,,-6.4523281596
2331,4810,1,4773,5050,,,,,,,-5.4851485149
2359,803,0,791,813,,,1,,,,-2.7060270603
2371,1930,0,1878,1919,1,,1,,1,,-2.1365294424
2395,477,0,463,473,1,,1,,1,,-2.1141649049
2412,2095,0,2017,2171,,,1,,,,-7.0935052971
2413,2669,0,2622,2664,1,,1,,1,,-1.5765765766
2432,2117,1,2112,2124,,,,,,,-0.5649717514
2433,1160,0,1132,1177,,,1,,,,-3.8232795242
2502,3710,0,3692,3863,,,1,,,,-4.4266114419
2503,1672,0,1653,1719,,,1,,,,-3.8394415358
2593,2589,0,2635,2627,,,,,,,0.304529882
2651,8430,0,8444,8400,,,,,,,0.5238095238
2670,7050,0,7020,7190,,,1,,,,-2.364394993
2674,1422,0,1402,1442,,,1,,,,-2.773925104
2681,1714,0,1705,1788,,,1,,,,-4.6420581655
2695,3235,0,3180,3330,,,1,,,,-4.5045045045
2702,2615,0,2589,2627,,,1,,,,-1.4465169395
2726,3445,0,3430,3505,,,1,,,,-2.1398002853
2768,245,0,239,246,,,1,,,,-2.8455284553
2780,3025,0,2948,3010,1,,1,,1,,-2.0598006645
2782,5610,1,5570,5700,,,,,,,-2.2807017544
2801,3625,0,3632,3845,,,,,,,-5.5396618986
2802,2468,0,2457,2571,,,1,,,,-4.4340723454
2809,2451,0,2419,2590,,,1,,,,-6.6023166023
2871,705,0,702,723,,,1,,,,-2.9045643154
2875,4295,0,4299,4415,,,,,,,-2.6274065685
2897,5490,0,5499,5680,,,,,,,-3.1866197183
2914,4080,0,4032,4187,,,1,,,,-3.7019345594
2915,1592,0,1577,1604,,,1,,,,-1.6832917706
3003,1096,0,1079,1108,,,1,,,,-2.6173285199
3048,1148,0,1114,1179,,,1,,,,-5.5131467345
3064,6050,1,5915,6040,,,,,,,-2.0695364238
3086,1928,0,1894,1943,,,1,,,,-2.5218733917
3088,5620,0,5576,5720,,,1,,,,-2.5174825175
3092,3640,0,3574,3630,1,,1,,1,,-1.5426997245
3099,1871,0,1844,1886,,,1,,,,-2.2269353128
3116,1946,0,1917,1957,,,1,,,,-2.0439448135
3141,5040,0,4969,5340,,,1,,,,-6.9475655431
3197,1714,0,1697,1765,,,1,,,,-3.8526912181
3231,2233,0,2227,2256,,,1,,,,-1.2854609929
3289,803,0,798,814,,,1,,,,-1.9656019656
3291,1968,0,1933,2023,,,1,,,,-4.4488383589
3349,14620,0,14455,14930,,,1,,,,-3.1815137307
3360,2546,0,2544,2597,,,1,,,,-2.0408163265
3382,5144,0,5070,5236,,,1,,,,-3.1703590527
3391,9380,0,9345,9770,,,1,,,,-4.3500511771
3402,1026,0,1008,1050,,,1,,,,-4
3405,1412,0,1395,1430,,,1,,,,-2.4475524476
3407,933,0,922,940,,,1,,,,-1.914893617
3436,1097,0,1069,1065,1,,1,,1,,0.3755868545
3512,503,0,494,509,,,1,,,,-2.9469548134
3606,146,0,143,149,,,1,,,,-4.0268456376
3626,2636,0,2599,2751,,,1,,,,-5.5252635405
3632,559,0,559,564,,,,,,,-0.8865248227
3636,2824,0,2780,2843,,,1,,,,-2.2159690468
3639,1487,0,1450,1490,,,1,,,,-2.6845637584
3641,3450,1,3361,3415,,,,,,,-1.5812591508
3656,1433,0,1398,1429,1,,1,,1,,-2.1693491952
3659,1525,0,1516,1595,,,1,,,,-4.9529780564
3664,591,0,573,559,1,,1,,1,,2.5044722719
3668,2143,1,2085,2107,,,,,,,-1.0441385857
3738,1901,0,1861,1948,,,1,,,,-4.4661190965
3742,1047,1,987,1073,,,,,,,-8.0149114632
3765,353,0,341,356,,,1,,,,-4.2134831461
3774,2148,0,2095,2132,1,,1,,1,,-1.7354596623
3788,745,0,726,776,,,1,,,,-6.4432989691
3793,790,0,745,791,,,1,,,,-5.8154235145
3799,581,0,547,562,1,,1,,1,,-2.6690391459
3817,2090,0,2034,2128,,,1,,,,-4.4172932331
3861,549,0,549,546,,,,,,,0.5494505495
3903,1142,0,1109,1215,,,1,,,,-8.7242798354
3905,592,0,561,574,1,,1,,1,,-2.2648083624
3907,3840,0,3671,3940,,,1,,,,-6.8274111675
3911,1226,1,1211,1180,,,,,,,2.6271186441
4004,137,0,136,139,,,1,,,,-2.1582733813
4021,2667,0,2615,2726,,,1,,,,-4.0719002201
4042,536,0,522,539,,,1,,,,-3.1539888683
4061,494,0,488,501,,,1,,,,-2.5948103792
4063,6573,0,6508,6585,,,1,,,,-1.1693242217
4088,1907,0,1893,1884,1,,1,,1,,0.4777070064
4091,1422,0,1389,1423,,,1,,,,-2.3893183415
4114,1754,0,1730,1717,1,,1,,1,,0.757134537
4116,530,0,519,543,,,1,,,,-4.4198895028
4151,1973,0,1941,2012,,,1,,,,-3.5288270378
4185,1869,0,1854,1889,,,1,,,,-1.8528321863
4188,673,0,657,695,,,1,,,,-5.4676258993
4201,822,0,817,846,,,1,,,,-3.4278959811
4202,1496,0,1457,1557,,,1,,,,-6.4226075787
4204,1292,0,1278,1323,,,1,,,,-3.4013605442
4205,998,0,982,992,1,,1,,1,,-1.0080645161
4206,2435,0,2416,2529,,,1,,,,-4.4681692369
4208,204,0,200,204,,,1,,,,-1.9607843137
4217,1810,0,1778,1816,,,1,,,,-2.0925110132
4231,692,0,672,673,1,,1,,1,,-0.1485884101
4272,1177,0,1173,1214,,,1,,,,-3.3772652389
4283,3775,0,3942,3775,,,,,,,4.4238410596
4298,1640,0,1620,1710,,,1,,,,-5.2631578947
4307,4690,0,4564,4715,,,1,,,,-3.2025450689
4324,5940,0,5788,5990,,,1,,,,-3.3722871452
4348,1086,0,1061,1149,,,1,,,,-7.6588337685
4452,5389,0,5360,5617,,,1,,,,-4.5753961189
4502,5770,0,5730,5835,,,1,,,,-1.7994858612
4503,1768,0,1743,1781,,,1,,,,-2.1336327906
4506,1308,0,1286,1310,,,1,,,,-1.8320610687
4507,4600,0,4512,4655,,,1,,,,-3.0719656284
4508,2068,0,2036,2094,,,1,,,,-2.7698185291
4519,4420,0,4365,4520,,,1,,,,-3.4292035398
4521,5490,1,5429,5480,,,,,,,-0.9306569343
4523,7630,0,7548,7714,,,1,,,,-2.151931553
4527,2019,0,2001,2061,,,1,,,,-2.9112081514
4528,14990,0,14606,15120,,,1,,,,-3.3994708995
4530,4090,0,4048,4035,1,,1,,1,,0.322180917
4534,7320,0,7240,7300,1,,1,,1,,-0.8219178082
4540,2602,0,2577,2639,,,1,,,,-2.3493747632
4543,3160,0,3147,3255,,,1,,,,-3.3179723502
4544,5000,0,4967,5220,,,1,,,,-4.846743295
4555,7630,0,7510,7600,1,,1,,1,,-1.1842105263
4568,2220,0,2207,2253,,,1,,,,-2.0417221482
4569,2074,0,2039,2057,1,,1,,1,,-0.8750607681
4572,3250,1,3220,3155,,,,,,,2.06022187
4578,3914,0,3840,3954,,,1,,,,-2.8831562974
4581,7720,0,7645,7760,,,1,,,,-1.4819587629
4587,14730,1,14495,14730,,,,,,,-1.5953835709
4612,2504,0,2456,2516,,,1,,,,-2.3847376789
4613,1838,0,1807,1866,,,1,,,,-3.1618435155
4631,271,0,267,277,,,1,,,,-3.6101083032
4634,448,0,444,461,,,1,,,,-3.6876355748
4641,2356,0,2306,2453,,,1,,,,-5.9926620465
4666,2304,0,2256,2362,,,1,,,,-4.4877222693
4676,1365,0,1374,1380,,,,,,,-0.4347826087
4681,3060,0,3038,3150,,,1,,,,-3.5555555556
4684,5200,0,5140,5300,,,1,,,,-3.0188679245
4689,486,0,479,480,1,,1,,1,,-0.2083333333
4704,4245,0,4200,4285,,,1,,,,-1.983663944
4708,1171,0,1153,1184,,,1,,,,-2.6182432432
4716,4950,0,4852,5010,,,1,,,,-3.1536926148
4719,1698,0,1670,1712,,,1,,,,-2.453271028
4722,678,0,653,683,,,1,,,,-4.39238653
4726,1207,0,1176,1228,,,1,,,,-4.2345276873
4732,2051,0,2009,2061,,,1,,,,-2.5230470645
4751,4820,1,4854,4745,,,,1,,,2.2971548999
4755,1623,0,1609,1662,,,1,,,,-3.1889290012
4761,643,0,638,661,,,1,,,,-3.4795763994
4768,6500,0,6301,6540,,,1,,,,-3.6544342508
4777,825,1,798,830,,,,,,,-3.8554216867
4793,890,0,880,907,,,1,,,,-2.9768467475
4812,1343,0,1306,1377,,,1,,,,-5.1561365287
4832,1101,0,1110,1190,,,,,,,-6.7226890756
4837,511,0,506,513,,,1,,,,-1.3645224172
4842,312,0,308,308,1,,1,,1,,0
4901,4686,0,4629,4734,,,1,,,,-2.2179974651
4902,1303,0,1286,1299,1,,1,,1,,-1.0007698229
4911,2599,0,2512,2626,,,1,,,,-4.3412033511
4912,1033,0,1026,1056,,,1,,,,-2.8409090909
4922,11360,1,10989,11620,,,,,,,-5.430292599
4927,6800,0,6667,7120,,,1,,,,-6.3623595506
4967,9050,1,9030,9230,,,,,,,-2.1668472373
4968,1105,0,1071,1087,1,,1,,1,,-1.4719411224
5002,1003,0,985,992,1,,1,,1,,-0.7056451613
5012,1120,1,1119,1151,,,,,,,-2.7801911381
5019,1933,0,1925,1949,,,1,,,,-1.2314007183
5020,445,0,438,443,1,,1,,1,,-1.1286681716
5101,1319,1,1336,1319,,1,,1,1,,1.2888551933
5105,2635,0,2583,2655,,,1,,,,-2.7118644068
5108,3945,0,3873,3985,,,1,,,,-2.8105395232
5110,1661,0,1650,1684,,,1,,,,-2.0190023753
5186,2769,0,2768,2802,,,1,,,,-1.2134189864
5196,587,0,577,582,1,,1,,1,,-0.8591065292
5201,727,0,717,709,1,,1,,1,,1.1283497884
5214,533,0,526,530,1,,1,,1,,-0.7547169811
5233,395,0,389,407,,,1,,,,-4.4226044226
5332,1760,0,1768,1795,,,,,,,-1.504178273
5334,2936,0,2898,2960,,,1,,,,-2.0945945946
5393,739,0,734,742,,,1,,,,-1.0781671159
5401,241,0,236,239,1,,1,,1,,-1.2552301255
5411,1859,0,1815,1813,1,,1,,1,,0.110314396
5471,427,0,422,431,,,1,,,,-2.0881670534
5486,1482,0,1477,1502,,,1,,,,-1.6644474035
5631,403,0,394,394,1,,1,,1,,0
5706,244,0,240,240,1,,1,,1,,0
5711,369,0,365,366,1,,1,,1,,-0.2732240437
5713,1433,0,1418,1418,1,,1,,1,,0
5714,1006,0,1001,1013,,,1,,,,-1.1846001974
5802,1612,0,1585,1620,,,1,,,,-2.1604938272
5857,1710,0,1693,1723,,,1,,,,-1.7411491584
5929,927,0,899,897,1,,1,,1,,0.2229654404
5938,2375,0,2354,2389,,,1,,,,-1.4650481373
5947,8660,0,8505,8920,,,1,,,,-4.6524663677
5949,2203,0,2174,2214,,,1,,,,-1.8066847335
5970,1193,0,1176,1200,,,1,,,,-2
5986,299,0,294,302,,,1,,,,-2.6490066225
5991,1137,0,1126,1141,,,1,,,,-1.314636284
6037,2014,0,1955,2210,,,1,,,,-11.5384615385
6093,9100,0,8850,9100,,,1,,,,-2.7472527473
6094,1420,0,1370,1454,,,1,,,,-5.7771664374
6136,2283,0,2229,2327,,,1,,,,-4.2114310271
6146,8970,0,8785,8850,1,,1,,1,,-0.7344632768
6201,5740,0,5596,5840,,,1,,,,-4.1780821918
6256,4380,0,4389,4680,,,,,,,-6.2179487179
6268,2428,0,2388,2404,1,,1,,1,,-0.6655574043
6273,28865,0,28145,29040,,,1,,,,-3.0819559229
6289,1544,0,1499,1545,,,1,,,,-2.9773462783
6301,1962,0,1981,1994,,,,,,,-0.6519558676
6302,514,0,506,516,,,1,,,,-1.9379844961
6305,1705,0,1707,1721,,,,,,,-0.8134805346
6326,1800,0,1772,1824,,,1,,,,-2.850877193
6361,478,0,473,473,1,,1,,1,,0
6366,853,0,842,847,1,,1,,1,,-0.5903187721
6367,7282,0,7104,7269,1,,1,,1,,-2.2699133306
6370,2450,0,2416,2503,,,1,,,,-3.4758290052
6371,909,0,893,909,,,1,,,,-1.7601760176
6395,1602,0,1578,1602,,,1,,,,-1.4981273408
6412,2347,0,2317,2307,1,,1,,1,,0.4334633723
6417,4430,0,4380,4500,,,1,,,,-2.6666666667
6425,2303,0,2218,2332,,,1,,,,-4.8885077187
6448,1621,0,1593,1616,1,,1,,1,,-1.4232673267
6460,1213,0,1196,1264,,,1,,,,-5.3797468354
6463,2751,0,2713,2794,,,1,,,,-2.8990694345
6465,7260,0,7180,7360,,,1,,,,-2.4456521739
6471,1514,0,1509,1519,,,1,,,,-0.6583278473
6473,1670,0,1660,1693,,,1,,,,-1.9492025989
6474,556,0,548,550,1,,1,,1,,-0.3636363636
6479,1527,0,1506,1504,1,,1,,1,,0.1329787234
6481,2106,0,2071,2047,1,,1,,1,,1.1724474841
6501,672,0,663,676,,,1,,,,-1.9230769231
6502,367,0,357,366,1,,1,,1,,-2.4590163934
6503,1174,0,1160,1180,,,1,,,,-1.6949152542
6504,467,0,461,469,,,1,,,,-1.7057569296
6506,1332,0,1312,1339,,,1,,,,-2.0164301718
6586,6700,0,6556,6600,1,,1,,1,,-0.6666666667
