,Code,Prev,Trend,Pred,Close
0,1417,1136,1,1143,1133
1,1605,1222,1,1225,1189
2,1719,795,1,788,791
3,1721,1510,1,1516,1485
4,1722,869,1,866,845
5,1801,822,1,820,805
6,1802,1050,1,1051,1032
7,1808,1427,1,1444,1375
8,1812,682,1,683,661
9,1878,13270,1,13262,12800
10,1881,2065,1,2057,2006
11,1911,1360,1,1355,1302
12,1925,2981,1,2987,2842
13,1928,1812,1,1812,1742
14,1951,1247,1,1247,1223
15,1952,983,1,987,940
16,1963,1773,1,1802,1745
17,1983,1325,1,1314,1261
18,2121,4170,1,4249,3945
19,2131,1221,1,1226,1190
20,2181,5420,1,5362,5220
21,2229,4645,1,4637,4345
22,2267,6780,1,6819,6410
23,2269,19750,1,19711,18530
24,2282,2800,1,2799,2665
25,2294,1889,1,1889,1870
26,2317,1142,1,1131,1078
27,2327,4695,1,4680,4480
28,2331,5300,1,5188,5060
29,2359,842,1,837,822
30,2371,1928,1,1930,1844
31,2395,492,1,491,460
32,2412,2180,0,2164,1975
33,2413,2812,1,2757,2685
34,2432,2216,1,2218,2120
35,2433,1214,1,1221,1158
36,2502,4002,1,3962,3895
37,2503,1782,1,1779,1701
38,2593,2869,1,2806,2696
39,2651,8660,1,8585,8360
40,2670,7360,1,7285,7190
41,2674,1449,1,1450,1395
42,2681,1841,1,1842,1734
43,2695,3375,1,3394,3240
44,2702,2670,1,2661,2663
45,2726,3610,1,3600,3525
46,2768,257,1,259,248
47,2780,3050,1,3032,2813
48,2782,5850,1,5800,5510
49,2801,3905,1,3926,3670
50,2802,2671,1,2656,2550
51,2809,2676,1,2657,2492
52,2871,742,1,739,707
53,2875,4550,1,4502,4380
54,2897,5760,1,5750,5470
55,2914,4329,1,4314,4152
56,2915,1667,1,1650,1590
57,3003,1116,1,1120,1068
58,3048,1172,1,1183,1112
59,3064,6140,1,6112,5720
60,3086,1969,1,1969,1861
61,3088,5830,1,5796,5530
62,3092,3700,1,3714,3500
63,3099,1942,1,1940,1831
64,3116,2022,1,2033,1882
65,3141,5820,1,5647,5520
66,3197,1873,1,1840,1789
67,3231,2278,1,2278,2184
68,3289,834,1,837,810
69,3291,2148,1,2110,2015
70,3349,15550,1,15261,14720
71,3360,2666,1,2646,2635
72,3382,5290,1,5330,5039
73,3391,9860,0,9712,9410
74,3402,1072,1,1080,1034
75,3405,1435,1,1459,1395
76,3407,968,1,976,916
77,3436,1117,1,1109,1053
78,3512,525,1,522,510
79,3606,158,1,156,151
80,3626,2843,1,2843,2761
81,3632,572,1,576,549
82,3636,3000,1,2992,2945
83,3639,1526,1,1544,1425
84,3641,3620,0,3525,3335
85,3656,1440,1,1456,1342
86,3659,1690,1,1692,1628
87,3664,589,1,598,551
88,3668,2189,1,2181,2019
89,3738,1990,1,1987,1896
90,3742,1150,1,1154,1071
91,3765,365,1,364,346
92,3774,2147,1,2189,2075
93,3788,795,1,793,755
94,3793,810,1,819,763
95,3799,582,1,585,557
96,3817,2195,1,2168,2112
97,3861,562,1,561,552
98,3903,1256,1,1248,1138
99,3905,593,1,589,558
100,3907,4240,1,4254,3890
101,3911,1277,1,1242,1166
102,4004,139,1,141,136
103,4021,2794,1,2819,2693
104,4042,573,1,569,515
105,4061,517,1,518,495
106,4063,6673,1,6732,6401
107,4088,1939,1,1961,1862
108,4091,1486,1,1492,1384
109,4114,1872,1,1866,1804
110,4116,577,1,576,551
111,4151,2039,1,2051,1936
112,4185,1908,1,1944,1902
113,4188,690,1,706,663
114,4201,874,1,870,826
115,4202,1602,1,1615,1513
116,4204,1339,1,1347,1274
117,4205,1008,1,1025,969
118,4206,2585,1,2595,2497
119,4208,210,1,210,208
120,4217,1866,1,1886,1789
121,4231,713,1,715,686
122,4272,1243,1,1243,1211
123,4283,3775,0,3942,3775
124,4298,1779,1,1776,1725
125,4307,4925,1,4927,4690
126,4324,6220,1,6268,5890
127,4348,1210,1,1189,1186
128,4452,5552,1,5613,5296
129,4502,5962,1,5963,5700
130,4503,1800,1,1801,1695
131,4506,1296,1,1311,1250
132,4507,4760,1,4767,4555
133,4508,2172,1,2176,2054
134,4519,4535,1,4571,4295
135,4521,5730,1,5701,5500
136,4523,8274,1,8162,7653
137,4527,2097,1,2093,2003
138,4528,15480,1,15519,14680
139,4530,4205,1,4177,4030
140,4534,7810,1,7710,7390
141,4540,2699,1,2702,2555
142,4543,3315,1,3327,3165
143,4544,5210,1,5229,4990
144,4555,7660,1,7659,7370
145,4568,2310,1,2282,2194
146,4569,2150,1,2138,2054
147,4572,2979,0,2980,2660
148,4578,4135,1,4114,3851
149,4581,7860,1,7850,7430
150,4587,14730,1,14495,14730
151,4612,2496,1,2525,2372
152,4613,1894,1,1909,1835
153,4631,293,1,294,275
154,4634,461,1,465,445
155,4641,2452,1,2481,2336
156,4666,2380,0,2366,2396
157,4676,1422,1,1420,1369
158,4681,3230,1,3212,3120
159,4684,5410,1,5400,5140
160,4689,491,1,495,470
161,4704,4315,1,4334,4180
162,4708,1239,1,1236,1170
163,4716,5070,1,5089,4900
164,4719,1793,1,1774,1760
165,4722,709,1,705,697
166,4726,1257,1,1263,1220
167,4732,2154,1,2152,2065
168,4751,4810,1,4881,4500
169,4755,1734,1,1733,1633
170,4761,654,0,657,652
171,4768,6400,0,6365,6160
172,4777,875,1,887,802
173,4793,923,0,915,919
174,4812,1452,1,1432,1406
175,4832,1180,0,1179,1161
176,4837,517,1,516,511
177,4842,327,1,327,316
178,4901,4989,1,4990,4777
179,4902,1332,1,1338,1289
180,4911,2544,1,2586,2468
181,4912,1062,0,1059,1023
182,4922,12010,1,11969,11120
183,4927,7260,1,7230,7050
184,4967,9430,1,9375,8870
185,4968,1121,1,1119,1062
186,5002,1037,1,1038,1006
187,5012,1210,1,1203,1185
188,5019,2078,1,2071,2003
189,5020,468,1,468,455
190,5101,1319,1,1336,1319
191,5105,2714,1,2708,2558
192,5108,4067,1,4106,3878
193,5110,1718,1,1721,1624
194,5186,2906,1,2918,2825
195,5196,590,1,598,578
196,5201,721,1,728,703
197,5214,536,1,537,523
198,5233,411,1,412,403
199,5332,1788,1,1793,1686
200,5334,2982,1,3003,2849
201,5393,776,1,776,763
202,5401,249,1,253,240
203,5411,1882,1,1914,1786
204,5471,450,1,455,435
205,5486,1538,1,1559,1474
206,5631,403,1,410,391
207,5706,249,1,253,243
208,5711,390,1,393,378
209,5713,1541,1,1545,1446
210,5714,1057,1,1067,1021
211,5802,1667,1,1686,1593
212,5857,1800,1,1800,1760
213,5929,925,1,913,911
214,5938,2502,1,2481,2436
215,5947,9090,1,9045,8780
216,5949,2272,1,2278,2148
217,5970,1251,1,1246,1249
218,5986,309,1,309,299
219,5991,1174,1,1187,1113
220,6037,2303,1,2306,2142
221,6093,9100,0,8850,9100
222,6094,1523,1,1545,1467
223,6136,2459,1,2446,2351
224,6146,9160,1,9304,8850
225,6201,6030,1,6094,5750
226,6256,4895,1,4847,4630
227,6268,2421,1,2468,2311
228,6273,29465,1,29765,27610
229,6289,1592,0,1567,1540
230,6301,2014,1,2044,1994
231,6302,528,1,533,502
232,6305,1760,1,1779,1706
233,6326,1898,1,1903,1831
234,6361,484,1,490,476
235,6366,875,1,886,832
236,6367,7238,1,7321,6985
237,6370,2526,1,2526,2520
238,6371,935,1,940,904
239,6395,1649,1,1670,1546
240,6412,2387,1,2387,2313
241,6417,4665,1,4640,4575
242,6425,2376,1,2388,2271
243,6448,1657,1,1671,1603
244,6460,1279,1,1285,1250
245,6463,2933,1,2930,2780
246,6465,7770,1,7735,7460
247,6471,1494,1,1522,1430
248,6473,1709,1,1728,1699
249,6474,560,1,567,546
250,6479,1453,1,1480,1380
251,6481,2109,1,2131,2055
252,6501,681,1,689,663
253,6502,384,1,382,363
254,6503,1211,1,1222,1154
255,6504,482,1,486,466
256,6506,1390,1,1413,1340
257,6586,6870,1,6884,6660
258,6594,9506,1,9544,9200
259,6645,4560,1,4592,4300
260,6651,2293,1,2314,2195
261,6674,453,1,457,436
262,6702,602,1,595,583
263,6703,212,1,218,207
264,6727,438,1,440,423
265,6741,1121,1,1135,1089
266,6752,1337,1,1335,1297
267,6754,809,1,803,774
268,6755,1502,1,1521,1441
269,6758,3162,1,3165,3051
270,6762,7550,1,7614,7030
271,6841,1426,1,1437,1376
272,6856,4275,1,4289,4050
273,6861,56390,1,57316,55300
274,6869,7360,1,7404,7040
275,6902,5429,1,5461,5144
276,6923,2363,1,2400,2216
277,6952,2334,1,2350,2248
278,6954,19715,1,20042,19290
279,6963,6590,1,6649,6370
280,6971,5955,1,6027,5812
281,6981,17550,1,17572,16455
282,6988,8172,1,8261,7805
283,7003,189,1,189,188
284,7011,579,1,588,558
285,7012,459,1,464,443
286,7013,376,1,382,367
287,7014,886,1,895,837
288,7177,744,1,751,729
289,7201,1097,1,1103,1053
290,7203,7192,1,7268,7000
291,7205,1336,1,1341,1290
292,7211,931,1,943,904
293,7240,3000,1,3012,2750
294,7242,358,1,360,344
295,7245,1064,1,1075,1022
296,7248,848,1,849,791
297,7259,4380,1,4404,4115
298,7261,2090,1,2106,2004
299,7262,1483,1,1501,1405
300,7267,3824,1,3841,3679
301,7269,4129,1,4140,3892
302,7270,4270,1,4282,4081
303,7272,2343,1,2371,2236
304,7276,4160,1,4159,3885
305,7278,2775,1,2806,2661
306,7279,3775,1,3765,3625
307,7280,2101,1,2124,1954
308,7282,2377,1,2413,2270
309,7296,1850,1,1861,1807
310,7309,16330,1,16305,15490
