Code,Prev,Trend,Pred,Close
1417,1061,0,1065,1074
1605,1084,0,1112,1080
1719,761,0,748,722
1721,1454,0,1464,1458
1722,784,1,785,786
1801,789,0,787,765
1802,1023,0,1018,988
1808,1334,1,1347,1360
1812,655,1,655,634
1878,12230,1,12254,12225
1881,2032,0,2033,2012
1911,1347,1,1354,1341
1925,3032,1,3039,3042
1928,1827,1,1818,1838
1951,1183,0,1180,1185
1952,956,0,955,964
1963,1713,0,1731,1696
1983,1257,0,1247,1261
2002,1555,1,1559,1628
2121,4035,0,4069,4070
2131,1199,1,1197,1197
2181,5070,1,4933,4935
2229,4045,0,4079,4095
2267,5870,1,5894,5970
2269,16710,1,16876,16860
2282,2562,0,2580,2571
2294,1871,1,1854,1871
2317,1178,1,1183,1187
2327,4870,1,4759,4790
2331,5250,1,5250,5310
2359,789,1,789,796
2371,1827,1,1820,1777
2395,419,1,427,417
2412,2295,1,2235,2070
2413,2420,1,2435,2397
2432,2356,1,2358,2368
2433,1160,1,1167,1172
2502,3565,0,3566,3601
2503,1608,0,1618,1602
2593,2420,1,2430,2423
2651,8650,1,8555,8580
2670,6760,0,6720,6840
2674,1388,0,1390,1402
2681,1873,0,1817,1948
2695,3860,1,3813,3790
2702,2653,0,2650,2635
2726,3500,1,3517,3580
2768,239,0,242,238
2780,2830,1,2890,2795
2782,5190,0,5175,5260
2784,2128,1,2135,2134
2801,3275,1,3299,3365
2802,2432,1,2444,2462
2809,2349,0,2353,2380
2871,668,1,671,696
2875,4335,0,4377,4380
2897,5210,0,5224,5260
2914,4026,0,4043,4114
2915,1553,1,1570,1543
3003,1044,1,1047,1039
3048,1035,1,1050,1056
3064,5430,1,5448,5320
3086,1820,1,1815,1824
3088,5300,1,5329,5170
3092,3550,1,3537,3460
3099,1805,1,1805,1826
3116,1923,0,1927,1961
3141,5580,1,5486,5510
3197,1601,1,1643,1623
3231,2245,1,2257,2223
3289,825,1,824,813
3291,1937,1,1957,1878
3349,14140,0,14159,14280
3360,2660,1,2684,2602
3382,4974,1,4996,5076
3391,9600,1,9525,9770
3402,1029,0,1027,1034
3405,1428,0,1426,1446
3407,919,1,917,922
3436,1155,1,1153,1157
3512,493,1,493,495
3606,139,0,139,139
3626,2764,1,2759,2769
3632,572,1,578,567
3636,2979,0,2971,2953
3639,1460,0,1485,1428
