Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio,Binary-Correct
1417,1057,1,1068,1057,,1,,1,1,,1.0406811731,1
1605,1113,1,1118,1113,,1,,1,1,,0.4492362983,1
1719,736,1,738,736,,1,,1,1,,0.2717391304,1
1721,1438,1,1460,1438,,1,,1,1,,1.5299026426,1
1722,795,1,816,795,,1,,1,1,,2.641509434,1
1801,766,1,769,766,,1,,1,1,,0.3916449086,1
1802,988,1,990,988,,1,,1,1,,0.2024291498,1
1808,1323,0,1328,1323,,,,,,,0.3779289494,
1812,635,1,639,635,,1,,1,1,,0.6299212598,1
1878,12320,1,12362,12320,,1,,1,1,,0.3409090909,1
1881,2077,1,2076,2077,,,,,,,-0.0481463649,1
1911,1373,1,1380,1373,,1,,1,1,,0.5098324836,1
1925,2959,1,3017,2959,,1,,1,1,,1.9601216627,1
1928,1822,1,1833,1822,,1,,1,1,,0.6037321625,1
1951,1193,1,1201,1193,,1,,1,1,,0.6705783738,1
1952,984,1,986,984,,1,,1,1,,0.2032520325,1
1963,1696,1,1722,1696,,1,,1,1,,1.5330188679,1
1983,1246,0,1254,1246,,,,,,,0.6420545746,
2002,1604,1,1618,1604,,1,,1,1,,0.8728179551,1
2121,4155,1,4150,4155,,,,,,,-0.1203369434,1
2131,1173,0,1174,1173,,,,,,,0.0852514919,
2181,4945,1,4959,4945,,1,,1,1,,0.2831142568,1
2229,3960,1,4019,3960,,1,,1,1,,1.4898989899,1
2267,6010,1,6049,6010,,1,,1,1,,0.6489184692,1
2269,16980,1,17039,16980,,1,,1,1,,0.347467609,1
2282,2470,0,2494,2470,,,,,,,0.971659919,
2294,1854,0,1837,1854,,,1,,,,-0.9169363538,
2317,1179,1,1188,1179,,1,,1,1,,0.7633587786,1
2327,4905,1,4909,4905,,1,,1,1,,0.0815494393,1
2331,5220,1,5249,5220,,1,,1,1,,0.5555555556,1
2359,802,1,806,802,,1,,1,1,,0.4987531172,1
2371,1854,1,1816,1854,,,,,,,-2.049622438,1
2395,406,0,411,406,,,,,,,1.2315270936,
2412,2095,1,2132,2095,,1,,1,1,,1.7661097852,1
2413,2425,1,2420,2425,,,,,,,-0.206185567,1
2432,2305,1,2308,2305,,1,,1,1,,0.1301518438,1
2433,1156,0,1167,1156,,,,,,,0.9515570934,
2502,3807,1,3849,3807,,1,,1,1,,1.1032308905,1
2503,1614,1,1633,1614,,1,,1,1,,1.1771995043,1
2593,2414,1,2452,2414,,1,,1,1,,1.5741507871,1
2651,8310,0,8439,8310,,,,,,,1.5523465704,
2670,6760,1,6814,6760,,1,,1,1,,0.798816568,1
2674,1389,0,1393,1389,,,,,,,0.2879769618,
2681,1934,1,1933,1934,,,,,,,-0.0517063082,1
2695,3710,0,3744,3710,,,,,,,0.9164420485,
2702,2634,1,2634,2634,,1,,1,1,,0,1
2726,3490,0,3502,3490,,,,,,,0.3438395415,
2768,240,1,241,240,,1,,1,1,,0.4166666667,1
2780,2820,1,2836,2820,,1,,1,1,,0.5673758865,1
2782,5370,0,5335,5370,,,1,,,,-0.6517690875,
2784,2112,1,2122,2112,,1,,1,1,,0.4734848485,1
2801,3400,1,3437,3400,,1,,1,1,,1.0882352941,1
2802,2424,1,2458,2424,,1,,1,1,,1.402640264,1
2809,2308,1,2336,2308,,1,,1,1,,1.2131715771,1
2871,705,1,707,705,,1,,1,1,,0.2836879433,1
2875,4300,1,4379,4300,,1,,1,1,,1.8372093023,1
2897,5240,1,5304,5240,,1,,1,1,,1.2213740458,1
2914,4009,1,4090,4009,,1,,1,1,,2.0204539785,1
2915,1580,1,1564,1580,,,,,,,-1.0126582278,1
3003,1025,1,1031,1025,,1,,1,1,,0.5853658537,1
3048,1036,1,1037,1036,,1,,1,1,,0.0965250965,1
3064,5400,1,5399,5400,,,,,,,-0.0185185185,1
3086,1807,1,1831,1807,,1,,1,1,,1.3281682346,1
3088,5090,1,5114,5090,,1,,1,1,,0.4715127701,1
3092,3615,1,3560,3615,,,,,,,-1.5214384509,1
3099,1788,1,1809,1788,,1,,1,1,,1.1744966443,1
3116,2048,1,2054,2048,,1,,1,1,,0.29296875,1
3141,5340,1,5464,5340,,1,,1,1,,2.3220973783,1
3197,1557,1,1570,1557,,1,,1,1,,0.8349389852,1
3231,2297,1,2267,2297,,,,,,,-1.3060513714,1
3289,793,1,799,793,,1,,1,1,,0.7566204288,1
3291,1862,1,1875,1862,,1,,1,1,,0.6981740064,1
3349,13960,1,14079,13960,,1,,1,1,,0.8524355301,1
3360,2568,1,2575,2568,,1,,1,1,,0.2725856698,1
3382,5158,1,5111,5158,,,,,,,-0.9112058938,1
3391,9570,0,9570,9570,,,,,,,0,
3402,1019,1,1035,1019,,1,,1,1,,1.5701668302,1
3405,1455,1,1465,1455,,1,,1,1,,0.6872852234,1
3407,903,1,912,903,,1,,1,1,,0.9966777409,1
3436,1191,1,1218,1191,,1,,1,1,,2.2670025189,1
3512,496,1,496,496,,1,,1,1,,0,1
3606,139,1,139,139,,1,,1,1,,0,1
3626,2736,1,2772,2736,,1,,1,1,,1.3157894737,1
3632,559,0,565,559,,,,,,,1.0733452594,
3636,2984,1,3014,2984,,1,,1,1,,1.0053619303,1
3639,1500,1,1502,1500,,1,,1,1,,0.1333333333,1
3641,3160,1,3199,3160,,1,,1,1,,1.2341772152,1
3656,1301,1,1314,1301,,1,,1,1,,0.9992313605,1
3659,1615,1,1642,1615,,1,,1,1,,1.6718266254,1
3664,519,1,519,519,,1,,1,1,,0,1
3668,2061,1,2075,2061,,1,,1,1,,0.679281902,1
3738,1793,1,1827,1793,,1,,1,1,,1.896263246,1
3742,1069,0,1075,1069,,,,,,,0.561272217,
3765,375,1,374,375,,,,,,,-0.2666666667,1
3774,2163,1,2199,2163,,1,,1,1,,1.6643550624,1
3788,729,1,726,729,,,,,,,-0.4115226337,1
3793,708,1,709,708,,1,,1,1,,0.1412429379,1
3799,561,1,575,561,,1,,1,1,,2.495543672,1
3817,2105,1,2096,2105,,,,,,,-0.4275534442,1
3861,556,1,564,556,,1,,1,1,,1.4388489209,1
3903,1400,1,1369,1400,,,,,,,-2.2142857143,1
3905,519,0,517,519,,,1,,,,-0.3853564547,
3907,3820,0,3847,3820,,,,,,,0.7068062827,
3911,1313,1,1310,1313,,,,,,,-0.2284843869,1
4004,136,1,137,136,,1,,1,1,,0.7352941176,1
4021,2741,1,2764,2741,,1,,1,1,,0.8391098139,1
4042,596,1,603,596,,1,,1,1,,1.1744966443,1
4061,490,1,495,490,,1,,1,1,,1.0204081633,1
4063,6387,1,6488,6387,,1,,1,1,,1.581337091,1
4088,1749,0,1765,1749,,,,,,,0.914808462,
4091,1188,1,1205,1188,,1,,1,1,,1.430976431,1
4114,1692,1,1716,1692,,1,,1,1,,1.4184397163,1
4116,546,0,548,546,,,,,,,0.3663003663,
4151,1811,0,1829,1811,,,,,,,0.9939260077,
4185,1754,0,1771,1754,,,,,,,0.9692132269,
4188,673,1,682,673,,1,,1,1,,1.3372956909,1
4201,777,1,782,777,,1,,1,1,,0.6435006435,1
4202,1415,1,1433,1415,,1,,1,1,,1.2720848057,1
4204,1277,1,1294,1277,,1,,1,1,,1.3312451057,1
4205,964,1,974,964,,1,,1,1,,1.0373443983,1
4206,2444,1,2468,2444,,1,,1,1,,0.9819967267,1
4208,211,1,213,211,,1,,1,1,,0.9478672986,1
4217,1761,1,1784,1761,,1,,1,1,,1.3060760931,1
4231,659,1,664,659,,1,,1,1,,0.7587253414,1
4272,1313,1,1320,1313,,1,,1,1,,0.5331302361,1
4283,3775,0,3942,3775,,,,,,,4.4238410596,
4298,1503,0,1508,1503,,,,,,,0.3326679973,
4307,4825,1,4852,4825,,1,,1,1,,0.5595854922,1
4324,6200,1,6269,6200,,1,,1,1,,1.1129032258,1
4348,1088,0,1097,1088,,,,,,,0.8272058824,
4452,5037,1,5140,5037,,1,,1,1,,2.044867977,1
4502,5642,0,5673,5642,,,,,,,0.5494505495,
4503,1650,0,1658,1650,,,,,,,0.4848484848,
4506,1286,0,1301,1286,,,,,,,1.166407465,
4507,4535,0,4590,4535,,,,,,,1.2127894157,
4508,2135,0,2139,2135,,,,,,,0.18735363,
4519,3900,0,3939,3900,,,,,,,1,
4521,5920,1,5905,5920,,,,,,,-0.2533783784,1
4523,7905,1,7941,7905,,1,,1,1,,0.4554079696,1
4527,1773,1,1771,1773,,,,,,,-0.1128031585,1
4528,15180,0,15174,15180,,,1,,,,-0.0395256917,
4530,4020,0,4052,4020,,,,,,,0.7960199005,
4534,7390,0,7425,7390,,,,,,,0.4736129905,
4540,2649,1,2665,2649,,1,,1,1,,0.60400151,1
4543,3210,0,3239,3210,,,,,,,0.9034267913,
4544,5100,1,5129,5100,,1,,1,1,,0.568627451,1
4555,7030,0,7079,7030,,,,,,,0.6970128023,
4568,2188,0,2207,2188,,,,,,,0.8683729433,
4569,1935,1,1955,1935,,1,,1,1,,1.0335917313,1
4572,2380,1,2438,2380,,1,,1,1,,2.4369747899,1
4578,3954,1,4013,3954,,1,,1,1,,1.4921598381,1
4581,7170,0,7265,7170,,,,,,,1.3249651325,
4587,14730,1,14389,14730,,,,,,,-2.3150033944,1
4612,2240,1,2257,2240,,1,,1,1,,0.7589285714,1
4613,1660,1,1672,1660,,1,,1,1,,0.7228915663,1
4631,276,1,279,276,,1,,1,1,,1.0869565217,1
4634,453,1,459,453,,1,,1,1,,1.3245033113,1
4641,2164,1,2204,2164,,1,,1,1,,1.8484288355,1
4666,2190,1,2194,2190,,1,,1,1,,0.1826484018,1
4676,1468,0,1463,1468,,,1,,,,-0.340599455,
4681,2970,1,2980,2970,,1,,1,1,,0.3367003367,1
4684,5040,1,5054,5040,,1,,1,1,,0.2777777778,1
4689,473,0,475,473,,,,,,,0.422832981,
4704,4175,0,4217,4175,,,,,,,1.005988024,
4708,1244,1,1247,1244,,1,,1,1,,0.2411575563,1
4716,4690,0,4744,4690,,,,,,,1.1513859275,
4719,1900,1,1880,1900,,,,,,,-1.0526315789,1
4722,693,0,697,693,,,,,,,0.5772005772,
4726,1207,1,1210,1207,,1,,1,1,,0.2485501243,1
4732,1952,1,1967,1952,,1,,1,1,,0.768442623,1
4751,4830,1,4815,4830,,,,,,,-0.3105590062,1
4755,1522,1,1519,1522,,,,,,,-0.197109067,1
4761,648,1,647,648,,,,,,,-0.1543209877,1
4768,5830,0,5839,5830,,,,,,,0.154373928,
4777,752,1,758,752,,1,,1,1,,0.7978723404,1
4793,880,0,878,880,,,1,,,,-0.2272727273,
4812,1598,1,1588,1598,,,,,,,-0.6257822278,1
4832,1143,1,1139,1143,,,,,,,-0.3499562555,1
4837,500,1,499,500,,,,,,,-0.2,1
4842,310,1,309,310,,,,,,,-0.3225806452,1
4901,4720,1,4784,4720,,1,,1,1,,1.3559322034,1
4902,1317,1,1328,1317,,1,,1,1,,0.8352315869,1
4911,2461,1,2491,2461,,1,,1,1,,1.2190166599,1
4912,1002,1,1015,1002,,1,,1,1,,1.2974051896,1
4922,10270,1,10457,10270,,1,,1,1,,1.8208373905,1
4927,7090,1,7154,7090,,1,,1,1,,0.9026798307,1
4967,8240,1,8324,8240,,1,,1,1,,1.0194174757,1
4968,1144,1,1147,1144,,1,,1,1,,0.2622377622,1
5002,972,1,974,972,,1,,1,1,,0.2057613169,1
5012,1170,1,1185,1170,,1,,1,1,,1.2820512821,1
5019,1906,0,1916,1906,,,,,,,0.5246589717,
5020,453,1,453,453,,1,,1,1,,0,1
5101,1319,1,1336,1319,,1,,1,1,,1.2888551933,1
5105,2742,1,2751,2742,,1,,1,1,,0.3282275711,1
5108,4247,1,4287,4247,,1,,1,1,,0.9418412997,1
5110,1755,1,1779,1755,,1,,1,1,,1.3675213675,1
5186,2921,1,2955,2921,,1,,1,1,,1.1639849367,1
5196,598,1,598,598,,1,,1,1,,0,1
5201,751,1,762,751,,1,,1,1,,1.464713715,1
5214,608,0,615,608,,,,,,,1.1513157895,
5233,373,1,379,373,,1,,1,1,,1.6085790885,1
5332,1696,1,1735,1696,,1,,1,1,,2.2995283019,1
5334,2923,1,2948,2923,,1,,1,1,,0.8552856654,1
5393,759,1,767,759,,1,,1,1,,1.0540184453,1
5401,237,1,242,237,,1,,1,1,,2.1097046414,1
5411,1781,1,1831,1781,,1,,1,1,,2.8074115665,1
5471,410,1,414,410,,1,,1,1,,0.9756097561,1
5486,1454,1,1476,1454,,1,,1,1,,1.5130674003,1
5631,398,1,403,398,,1,,1,1,,1.256281407,1
5706,243,1,246,243,,1,,1,1,,1.2345679012,1
5711,397,1,403,397,,1,,1,1,,1.5113350126,1
5713,1495,1,1504,1495,,1,,1,1,,0.602006689,1
5714,964,1,986,964,,1,,1,1,,2.2821576763,1
5802,1666,0,1680,1666,,,,,,,0.8403361345,
5857,1819,1,1847,1819,,1,,1,1,,1.5393073117,1
5929,903,1,899,903,,,,,,,-0.4429678848,1
5938,2535,1,2587,2535,,1,,1,1,,2.0512820513,1
5947,9060,1,9084,9060,,1,,1,1,,0.2649006623,1
5949,2282,1,2272,2282,,,,,,,-0.4382120947,1
5970,1341,1,1345,1341,,1,,1,1,,0.298284862,1
5986,286,0,285,286,,,1,,,,-0.3496503497,
5991,1201,1,1206,1201,,1,,1,1,,0.4163197336,1
6037,2293,1,2311,2293,,1,,1,1,,0.7849978195,1
6093,9100,0,8835,9100,,,1,,,,-2.9120879121,
6094,1171,1,1168,1171,,,,,,,-0.2561912895,1
6136,2278,1,2325,2278,,1,,1,1,,2.063213345,1
6146,9350,1,9433,9350,,1,,1,1,,0.8877005348,1
6201,6180,1,6184,6180,,1,,1,1,,0.0647249191,1
6256,4620,1,4595,4620,,,,,,,-0.5411255411,1
6268,2237,1,2258,2237,,1,,1,1,,0.9387572642,1
6273,26695,1,27107,26695,,1,,1,1,,1.5433601798,1
6289,1630,1,1627,1630,,,,,,,-0.1840490798,1
6301,1953,0,1976,1953,,,,,,,1.1776753712,
6302,544,1,547,544,,1,,1,1,,0.5514705882,1
6305,1800,0,1820,1800,,,,,,,1.1111111111,
6326,1728,1,1757,1728,,1,,1,1,,1.6782407407,1
6361,461,1,465,461,,1,,1,1,,0.8676789588,1
6366,873,1,879,873,,1,,1,1,,0.6872852234,1
