銘柄コード,銘柄名称,株価,前日終値,予想株価 (PERxEPS),始値,高値,安値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
1417,(株)ミライト・ホールディングス,1168,1196,1168.025,1172,1194,1165,227200,99726,85381866,2.57,30.0,9.5,0.78,122.95,1504.71,116800,100,1491,1165
1605,国際石油開発帝石(株),1200,1210,1200.6465,1195,1226,1190,5828600,1755519,1462323600,1.5,18.0,25.05,0.57,47.93,2100.26,120050,100,1556,1180
1719,安藤ハザマ,752,770,751.8996,750,765,747,2086400,139277,185209189,1.33,10.0,13.24,2.1,56.79,358.66,75200,100,799,605
1721,コムシスホールディングス(株),1573,1625,1572.6046000000001,1596,1608,1570,871800,229623,145977886,2.23,35.0,10.57,0.94,148.78,1676.3,157300,100,1918,1381
1722,ミサワホーム(株),892,930,892.0597,913,914,891,456500,34555,38738914,2.24,20.0,8.33,1.03,107.09,870.06,89200,100,1182,891
1801,大成建設(株),811,828,810.981,806,823,805,10201000,949899,1171268860,0.99,8.0,22.59,1.92,35.9,422.2,811000,1000,856,648
1802,(株)大林組,1036,1060,1036.144,1038,1062,1030,4673000,747484,721509646,0.97,10.0,24.8,1.45,41.78,716.38,1036000,1000,1098,717
1808,(株)長谷工コーポレーション,1478,1508,1477.4967,1463,1486,1452,3919500,444574,300794397,0.68,10.0,12.69,2.98,116.43,496.74,147800,100,1699,923
1812,鹿島,683,701,682.9087999999999,684,699,681,7126000,722144,1057312022,0.88,6.0,28.36,1.61,24.08,424.2,683000,1000,730,449
1878,大東建託(株),13405,13595,13405.350400000001,13475,13520,13355,276400,1063343,79324379,2.98,399.0,16.64,4.34,805.61,3085.68,1340500,100,14590,11860
1881,(株)ＮＩＰＰＯ,2064,2070,2063.0989999999997,2054,2078,2044,490000,246445,119401836,1.21,25.0,11.17,1.0,184.7,2073.99,2064000,1000,2254,1596
1911,住友林業(株),1414,1461,1413.5556000000001,1434,1463,1413,883500,250858,177410239,1.7,24.0,12.84,1.04,110.09,1359.99,141400,100,1664,1060
1925,大和ハウス工業(株),3045,3123,3045.327,3055,3109,3039,1813600,2028695,666238205,2.3,70.0,16.05,1.78,189.74,1710.73,304500,100,3362,2120
1928,積水ハウス(株),1877,1941,1877.5738,1883,1917,1870,3650000,1332431,709683466,2.88,54.0,14.18,1.25,132.41,1496.47,187750,100,2115,1472
1951,(株)協和エクシオ,1285,1325,1285.06,1297,1320,1284,515100,151389,117812419,2.49,32.0,9.59,0.87,134.0,1481.89,128500,100,1543,1141
1952,新日本空調(株),1001,1034,1000.7874999999999,1008,1025,1001,18600,25308,25282225,2.0,20.0,14.75,0.67,67.85,1496.53,100100,100,1212,915
1963,日揮(株),1887,1927,1887.9732000000001,1913,1920,1886,2780000,488962,259052929,2.12,40.0,11.91,1.21,158.52,1556.44,1887500,1000,2585,1886
1983,東芝プラントシステム(株),1261,1318,1261.4656,1293,1310,1255,571700,123145,97656888,2.97,37.5,10.24,1.05,123.19,1206.53,126100,100,1882,1255
2002,(株)日清製粉グループ本社,1669,1723,1669.1532,1685,1700,1654,1056100,507973,304357891,1.44,24.0,31.24,1.36,53.43,1228.17,166900,100,1880,1187
2121,(株)ミクシィ,4370,4560,4372.8966,4380,4480,4290,3595300,368371,84295500,2.95,129.0,6.78,5.44,644.97,803.38,437000,100,6670,3875
2131,(株)アコーディア・ゴルフ,1237,1258,1236.8505,1237,1244,1222,453000,104822,84739000,2.91,36.0,21.27,1.9,58.15,652.57,123700,100,1337,1077
2181,テンプホールディングス(株),5210,5350,5210.440299999999,5190,5280,5140,283700,388449,74558406,0.69,36.0,25.09,3.71,207.67,1403.16,521000,100,5770,3655
2229,カルビー(株),4680,4850,4679.9584,4740,4740,4655,778500,625556,133665800,0.71,33.0,39.52,5.69,118.42,822.42,468000,100,5700,4050
2267,(株)ヤクルト本社,7070,7440,7070.3712,7150,7200,6970,1344500,1243685,175910218,0.71,50.0,42.48,3.56,166.44,1987.08,707000,100,9030,6100
2269,明治ホールディングス(株),19260,19740,19261.828400000002,19360,19610,19240,313800,1470341,76341700,0.57,110.0,28.36,3.64,679.19,5292.99,1926000,100,21320,10690
2282,日本ハム(株),2798,2853,2798.1305,2800,2836,2774,1114000,570792,204000000,1.43,40.0,21.11,1.61,132.55,1740.54,2798000,1000,3235,2464
2294,(株)柿安本店,1894,1915,1893.9460000000001,1910,1910,1882,29600,23574,12446700,2.22,42.0,15.8,1.63,119.87,1161.39,189400,100,2036,1800
2317,(株)システナ,1204,1233,,1195,1240,1190,104600,33929,28180000,2.66,32.0,,2.37,,508.93,120400,100,1305,835
2327,新日鉄住金ソリューションズ(株),4505,4630,4505.456,4510,4580,4500,112200,238761,52999120,1.55,70.0,19.4,2.2,232.24,2048.78,450500,100,5260,2750
2331,ＡＬＳＯＫ,4850,5040,4850.3616,4870,4935,4845,466100,494894,102040042,0.82,40.0,28.68,2.67,169.12,1815.83,485000,100,5910,2840
2359,(株)コア,841,858,841.192,851,864,839,15100,12476,14834580,2.38,20.0,19.36,1.57,43.45,534.32,84100,100,947,810
2371,(株)カカクコム,2017,2139,2016.9445999999998,2066,2122,2007,2352600,447318,221773700,,,33.83,17.07,59.62,118.19,201700,100,2177,1580
2395,(株)新日本科学,557,583,557.0016,575,575,550,244000,22155,39776000,,,204.78,1.88,2.72,296.94,55700,100,972,550
2412,(株)ベネフィット・ワン,2183,2218,2183.0912000000003,2151,2214,2150,126100,98549,45144000,1.1,24.0,32.18,8.02,67.84,272.23,218300,100,3080,1225
2413,エムスリー(株),2897,3000,2897.0942,2880,2988,2852,2202700,937463,323597800,,,82.94,20.38,34.93,142.13,289700,100,3180,1987
2432,(株)ディー・エヌ・エー,2192,2315,,2250,2273,2158,2865800,330576,150810033,,,,1.6,,1371.37,219200,100,2705,1367
2433,(株)博報堂ＤＹホールディングス,1243,1285,1242.7328,1255,1263,1236,730600,482978,388558100,1.45,18.0,22.16,1.77,56.08,702.58,124300,100,1467,1062
2502,アサヒグループホールディングス(株),4035,4163,4034.6267,4097,4113,4027,1461600,1951269,483585862,1.19,48.0,24.83,2.12,162.49,1903.8,403500,100,4395,3550
2503,キリンホールディングス(株),1778,1818,1778.2323999999999,1802,1813,1778,3962700,1625549,914000000,2.14,38.0,24.22,1.93,73.42,922.8,177850,100,1915,1400
2593,(株)伊藤園,2859,2936,2858.8181999999997,2864,2919,2854,287700,255058,89212380,1.4,40.0,29.13,2.77,98.14,1031.19,285900,100,3140,2075
2651,(株)ローソン,9040,9060,9039.36,8910,9100,8900,436400,906712,100300000,2.71,245.0,25.68,3.58,352.0,2525.06,904000,100,9770,7190
2670,(株)エービーシー・マート,7500,7720,7498.8573,7480,7660,7470,367100,579489,77265232,1.33,100.0,21.89,3.56,342.57,2104.43,750000,100,8020,5490
2674,(株)ハードオフコーポレーション,1527,1574,1526.769,1550,1558,1523,30300,21308,13954000,2.29,35.0,16.47,1.73,92.7,880.21,152700,100,1698,920
2681,(株)ゲオホールディングス,1920,1881,1919.9334,1850,1967,1848,521200,104769,54567200,1.67,32.0,22.33,1.55,85.98,1236.77,192000,100,2034,961
2695,(株)くらコーポレーション,3495,3580,3495.6420000000003,3505,3570,3490,110000,72346,20699800,0.34,12.0,21.93,2.86,159.4,1220.17,349500,100,4965,3145
2702,日本マクドナルドホールディングス(株),2641,2623,,2601,2647,2601,403700,351147,132960000,,,,3.0,-285.8,881.47,264100,100,2680,2451
2726,(株)パル,3790,3815,3789.3795,3750,3820,3730,54100,87685,23136000,1.72,65.0,15.55,2.46,243.69,1539.72,379000,100,4445,2880
2768,双日(株),261,266,260.8752,258,265,257,44665300,326641,1251499501,3.07,8.0,8.16,0.54,31.97,478.96,26100,100,329,152
2780,(株)コメ兵,3230,3380,3229.4872,3270,3290,3125,145400,36360,11257000,0.93,30.0,17.32,2.08,186.46,1554.55,323000,100,4095,2900
2782,(株)セリア,5670,5850,5670.911999999999,5650,5760,5620,46200,215006,37920000,0.53,30.0,30.72,6.32,184.6,897.72,567000,100,6290,3300
2784,アルフレッサ　ホールディングス(株),2255,2328,2254.8279,2278,2312,2254,646000,529965,235017600,1.42,32.0,21.19,1.41,106.41,1598.18,225500,100,2489,1331
2801,キッコーマン(株),3945,4135,3945.0699,4055,4070,3930,1610000,829962,210383202,0.61,24.0,45.33,3.25,87.03,1215.52,3945000,1000,4400,2809
