銘柄コード,銘柄名称,始値,高値,安値,終値,前日終値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
1417,(株)ミライト・ホールディングス,1098,1113,1089,1095,1133,318300,93493,85381866,2.74,30.0,8.91,0.73,122.95,1504.71,109500,100,1491,1027
1605,国際石油開発帝石(株),1161,1165,1139,1146,1189,6990100,1676554,1462323600,1.57,18.0,23.92,0.55,47.93,2100.26,114650,100,1556,1074
1719,安藤ハザマ,772,807,760,788,791,3696800,145945,185209189,1.27,10.0,13.88,2.2,56.79,358.66,78800,100,809,605
1721,コムシスホールディングス(株),1457,1492,1450,1460,1485,951900,213128,145977886,2.4,35.0,9.81,0.87,148.78,1676.3,146000,100,1918,1381
1722,ミサワホーム(株),837,839,810,817,845,292200,31650,38738914,2.45,20.0,7.63,0.94,107.09,870.06,81700,100,1182,781
1801,大成建設(株),791,818,783,795,805,15194000,931159,1171268860,1.01,8.0,22.14,1.88,35.9,422.2,795000,1000,856,648
1802,(株)大林組,1013,1059,1004,1027,1032,4968000,740990,721509646,0.97,10.0,24.58,1.43,41.78,716.38,1027000,1000,1098,717
1808,(株)長谷工コーポレーション,1326,1366,1312,1324,1375,4915400,398252,300794397,0.76,10.0,11.37,2.67,116.43,496.74,132400,100,1699,923
1812,鹿島,648,676,644,660,661,6342000,697826,1057312022,0.91,6.0,27.41,1.56,24.08,424.2,660000,1000,730,449
1878,大東建託(株),12300,12700,12160,12365,12800,569200,980846,79324379,3.23,399.0,15.35,4.01,805.61,3085.68,1236500,100,14590,11860
1881,(株)ＮＩＰＰＯ,2038,2145,2030,2080,2006,868000,248356,119401836,1.2,25.0,11.26,1.0,184.7,2073.99,2080000,1000,2254,1596
1911,住友林業(株),1274,1315,1268,1286,1302,541700,228150,177410239,1.87,24.0,11.68,0.95,110.09,1359.99,128600,100,1664,1060
1925,大和ハウス工業(株),2778,2868,2766,2780,2842,2620800,1852142,666238205,2.52,70.0,14.65,1.63,189.74,1710.73,278000,100,3362,2120
1928,積水ハウス(株),1694,1743,1684,1696,1742,3420800,1203978,709683466,3.18,54.0,12.81,1.13,132.41,1496.47,169650,100,2115,1472
1951,(株)協和エクシオ,1201,1222,1186,1192,1223,770600,140432,117812419,2.68,32.0,8.9,0.8,134.0,1481.89,119200,100,1543,1141
1952,新日本空調(株),915,946,896,930,940,29400,23512,25282225,2.15,20.0,13.71,0.62,67.85,1496.53,93000,100,1212,855
1963,日揮(株),1715,1748,1700,1720,1745,1947000,445571,259052929,2.33,40.0,10.85,1.11,158.52,1556.44,1720000,1000,2585,1694
1983,東芝プラントシステム(株),1244,1275,1236,1243,1261,334200,121388,97656888,3.02,37.5,10.09,1.03,123.19,1206.53,124300,100,1882,1122
2002,(株)日清製粉グループ本社,1564,1624,1559,1592,1598,1217400,484538,304357891,1.51,24.0,29.8,1.3,53.43,1228.17,159200,100,1880,1187
2121,(株)ミクシィ,3810,4090,3810,3980,3945,3013700,335496,84295500,3.24,129.0,6.17,4.95,644.97,803.38,398000,100,6670,3750
2131,(株)アコーディア・ゴルフ,1173,1208,1165,1190,1190,402100,100839,84739000,3.03,36.0,20.46,1.82,58.15,652.57,119000,100,1337,1077
2181,テンプホールディングス(株),5120,5290,5050,5130,5220,306300,388985,75825567,0.7,36.0,24.7,3.66,207.67,1403.16,513000,100,5770,3655
2229,カルビー(株),4250,4380,4240,4260,4345,945200,569416,133665800,0.77,33.0,35.97,5.18,118.42,822.42,426000,100,5700,4050
2267,(株)ヤクルト本社,6290,6400,6150,6210,6410,955000,1092402,175910218,0.81,50.0,37.31,3.13,166.44,1987.08,621000,100,9030,6100
2269,明治ホールディングス(株),17930,18790,17700,18280,18530,483000,1395526,76341700,0.6,110.0,26.91,3.45,679.19,5292.99,1828000,100,21320,10690
2282,日本ハム(株),2641,2704,2625,2655,2665,1355000,541620,204000000,1.51,40.0,20.03,1.53,132.55,1740.54,2655000,1000,3235,2464
2294,(株)柿安本店,1830,1868,1823,1833,1870,10300,22815,12446700,2.29,42.0,15.29,1.58,119.87,1161.39,183300,100,2036,1712
2317,(株)システナ,1044,1106,1044,1067,1078,84300,30068,28180000,3.0,32.0,,2.1,,508.93,106700,100,1305,835
2327,新日鉄住金ソリューションズ(株),4420,4665,4385,4545,4480,208800,240881,52999120,1.54,70.0,19.57,2.22,232.24,2048.78,454500,100,5260,2750
2331,ＡＬＳＯＫ,4945,5270,4905,5180,5060,712500,528567,102040042,0.77,40.0,30.63,2.85,169.12,1815.83,518000,100,5910,2840
2359,(株)コア,822,826,807,809,822,8400,12001,14834580,2.47,20.0,18.62,1.51,43.45,534.32,80900,100,947,752
2371,(株)カカクコム,1807,1877,1782,1840,1844,1698500,408064,221773700,,,30.86,15.57,59.62,118.19,184000,100,2177,1580
2395,(株)新日本科学,446,464,445,449,460,174900,17859,39776000,,,165.07,1.51,2.72,296.94,44900,100,972,426
2412,(株)ベネフィット・ワン,1895,2024,1895,1970,1975,113700,88934,45144000,1.22,24.0,29.04,7.24,67.84,272.23,197000,100,3080,1225
2413,エムスリー(株),2621,2718,2592,2633,2685,1918900,852033,323597800,,,75.38,18.53,34.93,142.13,263300,100,3180,1987
2432,(株)ディー・エヌ・エー,2102,2168,2095,2113,2120,2228600,318662,150810033,,,,1.54,,1371.37,211300,100,2705,1367
2433,(株)博報堂ＤＹホールディングス,1128,1172,1124,1156,1158,1051000,449173,388558100,1.56,18.0,20.61,1.65,56.08,702.58,115600,100,1467,1062
2502,アサヒグループホールディングス(株),3803,3902,3769,3803,3895,1785200,1839077,483585862,1.26,48.0,23.4,2.0,162.49,1903.8,380300,100,4395,3550
2503,キリンホールディングス(株),1685,1734,1678,1691,1701,3424400,1545574,914000000,2.25,38.0,23.03,1.83,73.42,922.8,169100,100,1915,1400
2593,(株)伊藤園,2646,2679,2585,2597,2696,778600,231685,89212380,1.54,40.0,26.47,1.82,98.11,1428.95,259700,100,3140,2075
2651,(株)ローソン,8210,8370,8170,8220,8360,435300,824466,100300000,2.98,245.0,23.35,3.26,352.0,2525.06,822000,100,9770,7190
2670,(株)エービーシー・マート,7170,7460,7120,7350,7190,594500,575642,78318671,1.36,100.0,21.46,3.49,342.57,2104.43,735000,100,8020,5490
2674,(株)ハードオフコーポレーション,1373,1418,1370,1392,1395,27600,19424,13954000,2.51,35.0,15.02,1.58,92.7,880.21,139200,100,1698,920
2681,(株)ゲオホールディングス,1673,1744,1652,1701,1734,530800,92819,54567200,1.88,32.0,19.78,1.38,85.98,1236.77,170100,100,2034,961
2695,(株)くらコーポレーション,3160,3235,3125,3185,3240,100400,65929,20699800,0.38,12.0,19.98,2.61,159.4,1220.17,318500,100,4965,2926
2702,日本マクドナルドホールディングス(株),2640,2680,2625,2678,2663,414700,356067,132960000,,,,3.04,-285.8,881.47,267800,100,2680,2451
2726,(株)パル,3480,3560,3415,3450,3525,72400,79819,23136000,1.88,65.0,14.16,2.24,243.69,1539.72,345000,100,4445,2880
2768,双日(株),240,247,239,241,248,20850600,301611,1251499501,3.32,8.0,7.54,0.5,31.97,478.96,24100,100,329,152
2780,(株)コメ兵,2713,2958,2710,2825,2813,128600,31801,11257000,1.06,30.0,15.15,1.82,186.46,1554.55,282500,100,4095,2710
2782,(株)セリア,5410,5550,5350,5440,5510,60300,206285,37920000,0.55,30.0,29.47,6.06,184.6,897.72,544000,100,6290,3300
2784,アルフレッサ　ホールディングス(株),2119,2212,2110,2175,2153,1210600,511163,235017600,1.47,32.0,20.44,1.36,106.41,1598.18,217500,100,2489,1331
2801,キッコーマン(株),3580,3710,3565,3600,3670,1180000,757380,210383202,0.67,24.0,41.37,2.96,87.03,1215.52,3600000,1000,4400,2809
2802,味の素(株),2525,2621,2520,2562,2550,2500000,1523034,594470654,1.01,26.0,23.33,2.15,109.83,1191.03,2562000,1000,2960,2156
2809,キユーピー(株),2442,2536,2433,2475,2492,740400,378675,153000000,1.05,26.0,23.78,1.82,104.09,1357.88,247500,100,3645,2094
2871,(株)ニチレイ,692,723,689,704,707,1448000,208279,295851065,1.7,12.0,17.8,1.36,39.54,517.79,704000,1000,967,532
2875,東洋水産(株),4310,4440,4295,4345,4380,488300,481778,110881044,1.38,60.0,24.65,1.75,176.25,2485.39,434500,100,5020,3770
2897,日清食品ホールディングス(株),5410,5500,5350,5380,5470,307900,631955,117463685,1.49,80.0,29.65,1.61,181.43,3338.12,538000,100,6620,5110
2914,ＪＴ,4113,4297,4109,4234,4152,4603300,8469000,2000000000,2.55,108.0,16.18,3.03,261.68,1396.31,423450,100,4848,3101
2915,ケンコーマヨネーズ(株),1575,1580,1556,1565,1590,21800,22240,14211000,1.6,25.0,12.57,1.2,124.55,1305.27,156500,100,1793,1381
3003,ヒューリック(株),1048,1076,1042,1054,1068,1494000,698274,662498871,1.19,12.5,24.96,2.31,42.23,455.97,105400,100,1456,1003
3048,(株)ビックカメラ,1094,1192,1075,1130,1112,2016900,203884,180428297,0.88,10.0,19.07,2.1,59.26,539.08,113000,100,1641,1029
3064,(株)ＭｏｎｏｔａＲＯ,5520,5970,5500,5880,5720,587300,365389,62141000,0.41,24.0,82.99,33.09,70.85,177.71,588000,100,7280,2282
3086,Ｊ．フロント　リテイリング(株),1794,1877,1760,1820,1861,1960800,487977,268119164,1.43,26.0,17.11,1.24,106.34,1464.65,182000,100,2512,1331
3088,(株)マツモトキヨシホールディングス,5430,5540,5320,5410,5530,756400,295581,54636107,1.29,70.0,22.32,1.8,242.38,3001.88,541000,100,6950,3280
3092,(株)スタートトゥデイ,3385,3605,3355,3560,3500,923000,391231,109896300,1.32,47.0,30.69,13.21,116.01,269.51,356000,100,4455,2364
3099,(株)三越伊勢丹ホールディングス,1800,1866,1771,1810,1831,2681600,714928,394987954,0.61,11.0,28.54,1.26,63.43,1438.66,181000,100,2395,1460
3116,トヨタ紡織(株),1843,1918,1833,1869,1882,625600,350747,187665738,1.07,20.0,20.38,1.55,91.71,1203.96,186900,100,2400,1340
3141,ウエルシアホールディングス(株),5380,5780,5340,5610,5520,226300,294013,52408700,0.71,40.0,28.32,3.3,198.08,1698.92,561000,100,6770,3560
3193,(株)鳥貴族,2260,2450,2260,2354,2400,41800,26723,11352300,0.14,3.33,48.2,9.77,48.84,240.97,235400,100,3180,1213
3197,(株)すかいらーく,1709,1737,1684,1694,1789,2183600,328990,194208700,1.77,30.0,23.18,3.39,73.07,500.24,169400,100,1958,1168
3231,野村不動産ホールディングス(株),2140,2178,2103,2106,2184,1103300,403038,191375900,2.37,50.0,10.6,1.02,198.77,2056.13,210600,100,2700,1911
3289,東急不動産ホールディングス(株),804,825,799,805,810,3674900,515869,640830974,1.37,11.0,18.49,1.23,43.53,652.71,80500,100,1016,726
3291,飯田グループホールディングス(株),1950,2038,1928,1980,2015,1318200,582975,294431639,1.92,38.0,15.52,1.07,127.61,1845.71,198000,100,2459,1421
3349,(株)コスモス薬品,14560,15060,14330,14720,14720,61800,294406,20000400,0.41,60.0,24.91,4.48,590.92,3285.7,1472000,100,19610,13600
3360,シップヘルスケアホールディングス(株),2566,2664,2563,2601,2635,153100,129115,49640700,2.0,52.0,15.48,1.74,168.0,1493.51,260100,100,3070,2366
3382,(株)セブン＆アイ・ホールディングス,4950,5130,4938,5013,5039,3003100,4443734,886441983,1.54,77.0,22.96,1.92,218.31,2610.66,501300,100,5998,4118
3391,(株)ツルハホールディングス,9230,9510,9160,9330,9410,275800,453373,48593068,0.94,88.0,24.97,3.37,373.71,2765.6,933000,100,11890,6840
3402,東レ(株),1019,1048,1014,1024,1034,6283000,1671453,1631481403,1.17,12.0,18.82,1.65,54.43,621.91,1024500,1000,1126,928
3405,(株)クラレ,1371,1399,1362,1367,1395,1864900,485099,354863603,2.93,40.0,11.99,0.97,114.0,1410.83,136700,100,1688,1320
3407,旭化成(株),901,921,892,899,916,6095000,1262074,1402616332,2.22,20.0,11.86,1.14,75.88,788.55,899800,1000,1260,892
3436,(株)ＳＵＭＣＯ,1020,1067,1020,1036,1053,5352700,303844,293285539,1.93,20.0,,1.46,,711.72,103600,100,2458,1001
3512,日本フエルト(株),506,508,500,500,510,15600,9921,19842089,2.6,13.0,12.06,0.6,41.45,829.58,50000,100,589,481
3606,(株)レナウン,147,151,147,147,151,272800,14892,101307449,0.0,0.0,24.79,0.57,5.93,255.96,14700,100,316,108
3626,ＩＴホールディングス(株),2711,2806,2680,2739,2761,426700,240454,87789098,1.2,33.0,18.72,1.3,146.34,2102.69,273900,100,2998,1742
3632,グリー(株),541,562,540,547,549,1997200,131685,240740000,,,,1.35,,406.27,54700,100,880,537
3636,(株)三菱総合研究所,2900,2963,2850,2880,2945,5300,47301,16424080,1.74,50.0,13.51,1.25,213.1,2308.65,288000,100,3215,2653
