Code	Corr	Open	High	Low	Close	Change	Ratio	Trend	Pred	Name
4587	0.18	14110	14920	14020	14730	590	4.01	1	14495	ペプチドリーム
9432	0.38	8953	9147	8939	9075	122	1.36	1	8824	ＮＴＴ
8515	0.38	411	442	403	412	2	0.73	0	411	アイフル
7532	0.36	10460	10630	10460	10500	40	0.39	1	10228	ドンキＨＤ
7752	0.36	1107	1129	1098	1122	-1	0	0	1122	リコー
4201	0.39	828	860	820	836	-2	-0.12	1	836	日合成
9962	0.47	5480	5550	5450	5480	-10	-0.16	1	5475	ミスミＧ
8267	0.43	1819	1876	1801	1817	-10	-0.5	0	1822	イオン
4793	0.15	880	899	878	878	-7	-0.68	0	881	富士通ビー・エス・シー
3197	0.25	1701	1736	1697	1725	-15	-0.81	0	1732	すかいらーく
4272	0.5	1285	1306	1266	1272	-13	-0.94	0	1278	日化薬
3774	0.19	2202	2355	2184	2192	-26	-1.14	0	2204	ＩＩＪ
2702	0.23	2630	2643	2607	2607	-34	-1.27	1	2623	マクドナルド
7947	0.27	3915	4045	3915	3945	-70	-1.75	0	3979	エフピコ
6954	0.59	19400	19740	19290	19405	-340	-1.75	0	19574	ファナック
9719	0.47	4105	4250	4105	4145	-80	-1.91	0	4184	ＳＣＳＫ
4634	0.61	472	478	469	470	-10	-1.91	0	474	洋インキＨＤ
7731	0.41	1499	1538	1496	1508	-30	-1.92	0	1522	ニコン
8282	0.3	3865	3975	3835	3855	-80	-2.05	0	3895	ケーズＨＤ
9831	0.32	457	466	454	456	-11	-2.19	0	461	ヤマダ電
9787	0.3	3725	3885	3725	3770	-85	-2.23	0	3811	イオンディラ
5631	0.5	405	410	395	400	-10	-2.25	0	404	日製鋼
4837	0.18	510	511	500	503	-13	-2.39	0	509	シダックス
3405	0.62	1459	1482	1446	1453	-36	-2.41	0	1470	クラレ
6301	0.45	2100	2119	2076	2092	-52	-2.44	0	2118	コマツ
2871	0.47	738	773	732	734	-19	-2.45	0	743	ニチレイ
6481	0.43	2073	2108	2060	2071	-52	-2.46	0	2096	ＴＨＫ
9983	0.67	51440	52890	50120	50900	-1270	-2.49	0	51530	ファストリ
4283	0.54	3820	3825	3765	3775	-95	-2.49	0	3942	パナソニックIS
9613	0.69	5640	5740	5530	5550	-140	-2.5	0	5619	ＮＴＴデータ
6268	0.44	2421	2484	2421	2437	-63	-2.54	0	2468	ナブテスコ
2651	0.37	8920	9060	8790	8810	-230	-2.6	0	8924	ローソン
3799	0.2	531	567	515	536	-15	-2.61	0	543	キーウェアソリューションズ
4768	0.26	6350	6570	6320	6380	-170	-2.65	0	6463	大塚商会
2282	0.34	2771	2826	2721	2724	-74	-2.68	0	2760	日ハム
3512	0.42	510	512	501	501	-15	-2.79	0	508	日本フェルト
4967	0.41	9010	9310	8940	8950	-270	-3.01	0	9083	小林製薬
9948	0.32	2466	2535	2439	2439	-77	-3.12	0	2477	アークス
2875	0.39	4460	4575	4425	4430	-140	-3.14	0	4499	東洋水
9984	0.44	7215	7288	7060	7136	-226	-3.15	0	7248	ソフトバンク
2294	0.21	1870	1879	1800	1835	-59	-3.16	0	1864	柿安本店
9640	0.1	1224	1233	1211	1215	-40	-3.21	0	1234	セゾン情報システムズ
9064	0.46	2400	2469	2333	2334	-76	-3.21	0	2372	ヤマトＨＤ
9364	0.51	1007	1038	1001	1017	-34	-3.24	0	1033	上組
6417	0.36	4450	4495	4410	4415	-145	-3.26	0	4487	ＳＡＮＫＹＯ
6361	0.29	500	506	486	490	-17	-3.27	0	498	荏原
2593	0.33	2786	2839	2763	2767	-92	-3.29	0	2812	伊藤園
6502	0.44	365	368	360	360	-13	-3.33	0	367	東芝
7518	0.27	697	704	686	688	-24	-3.34	0	699	ネットワンシステムズ
8184	0.43	2977	3005	2902	2907	-98	-3.34	0	2955	島忠
8628	0.7	1030	1059	1011	1018	-35	-3.34	0	1035	松井
4912	0.39	1045	1077	1030	1030	-36	-3.4	0	1047	ライオン
9048	0.45	472	483	471	471	-17	-3.4	0	479	名鉄
1881	0.3	2078	2083	1980	1992	-72	-3.56	0	2027	ＮＩＰＰＯ
8015	0.61	2785	2799	2706	2720	-99	-3.6	0	2769	豊田通商
2782	0.03	5490	5560	5380	5470	-200	-3.64	0	5569	セリア
6841	0.54	1470	1498	1438	1449	-54	-3.66	0	1475	横河電
4631	0.5	275	283	271	271	-11	-3.69	0	276	ＤＩＣ
6367	0.61	7293	7471	7225	7250	-269	-3.7	0	7383	ダイキン
4902	0.54	1332	1343	1303	1312	-50	-3.73	0	1336	コニカミノル
4761	-0.11	655	659	640	640	-25	-3.75	0	652	さくらケーシーエス
3606	0.39	161	167	151	159	-7	-3.77	0	162	レナウン
9783	0.36	3195	3235	3145	3145	-120	-3.78	0	3204	ベネッセＨＤ
7628	0.44	1392	1422	1392	1398	-54	-3.79	0	1424	オーハシテクニカ
8028	0.3	5680	5770	5510	5510	-210	-3.79	0	5614	ファミリーＭ
5857	0.33	1752	1778	1717	1717	-67	-3.84	0	1750	アサヒＨＤ
4716	0.4	5010	5100	4910	4920	-190	-3.84	0	5014	日本オラクル
2802	0.51	2584	2643	2519	2523	-98	-3.84	0	2572	味の素
4676	0.25	1439	1455	1408	1413	-56	-3.89	0	1440	フジＨＤ
7751	0.43	3750	3765	3672	3677	-145	-3.92	0	3749	キヤノン
9468	0.21	1450	1490	1450	1453	-58	-3.92	0	1481	カドカワドワンゴ
2269	0.46	18800	19370	18520	18530	-730	-3.93	0	18875	明治ＨＤ
5970	0.38	1210	1240	1182	1192	-48	-3.94	0	1215	ジーテクト
6471	0.54	1550	1586	1539	1540	-62	-3.96	0	1570	日精工
5986	0.43	312	315	300	300	-13	-4	0	306	パイオラックス
6305	0.52	1844	1849	1790	1801	-73	-4	0	1837	日立建機
2670	0.25	7280	7600	7210	7210	-290	-4.01	0	7354	ＡＢＣマート
7606	0.19	4635	4755	4565	4570	-185	-4.03	0	4661	Ｕアローズ
5020	0.17	454	455	445	447	-19	-4.03	0	456	ＪＸ
2131	0.17	1220	1229	1188	1188	-49	-4.04	0	1212	アコーディア
7262	0.26	1525	1540	1495	1502	-62	-4.06	0	1532	ダイハツ
9735	0.72	7650	7785	7428	7473	-307	-4.09	0	7626	セコム
6503	0.59	1198	1234	1194	1194	-50	-4.1	0	1219	三菱電
1721	0.36	1536	1572	1507	1510	-63	-4.11	0	1541	コムシスＨＤ
9936	0.3	3965	3975	3855	3855	-160	-4.12	0	3934	王将フード
