Code	Corr	Open	High	Low	Close	Change	Ratio	Trend	Pred	Name
3911	0.18	1017	1227	903	1197	158	13.28	0	1118	Aiming
3668	0.33	1803	2199	1750	2027	144	7.15	0	1955	コロプラ
4572	0.1	2721	3345	2565	2997	126	4.24	0	2980	カルナバイオサイエンス
4751	0.4	4615	5180	4575	4890	205	4.21	0	4788	サイバー
2432	0.34	1937	2143	1925	2107	87	4.18	0	2064	ディーエヌエ
4587	0.19	14110	14920	14020	14730	590	4.01	1	14495	ペプチドリーム
3064	0.28	5340	6320	5170	5760	220	3.84	0	5656	モノタロウ
3641	0.11	3070	3430	2960	3245	110	3.42	0	3196	パピレス
8515	0.38	444	470	420	425	13	3.29	1	418	アイフル
8508	0.26	899	975	890	940	26	2.87	0	927	Ｊトラスト
2331	0.41	4495	4925	4480	4735	120	2.56	0	4677	ALSOK
7974	0.42	21140	23430	21070	22350	560	2.51	0	22078	任天堂
7752	0.36	1092	1168	1091	1146	24	2.18	0	1134	リコー
9449	0.3	1523	1694	1493	1595	32	2.07	0	1579	ＧＭＯ
3742	0.16	850	1020	780	910	16	1.87	0	902	ITbook
8056	0.43	1180	1286	1168	1228	22	1.87	0	1217	日本ユニシス
9684	0.31	2781	3030	2720	2882	51	1.8	0	2856	スクウェア・エニックス・ホールディングス
5012	0.22	1065	1137	1048	1119	18	1.7	0	1110	東燃ゼネ
4777	0.17	712	839	650	738	11	1.63	0	734	ガーラ
9432	0.39	8953	9147	8939	9075	122	1.36	1	8824	ＮＴＴ
2782	0.04	5250	5700	5160	5530	60	1.1	0	5500	セリア
8750	0.58	1950	2130	1950	2044	18	0.93	0	2035	第一生命
7453	0.24	22770	25300	22140	24150	190	0.79	0	24056	良品計画
4967	0.41	8650	9320	8630	9010	60	0.68	0	8980	小林製薬
7988	0.45	4295	4650	4285	4475	20	0.47	0	4465	ニフコ
6981	0.43	14645	16740	14620	15330	70	0.46	0	15295	村田製
7947	0.28	3895	4055	3830	3960	15	0.4	0	3952	エフピコ
7532	0.35	10460	10630	10460	10500	40	0.39	1	10228	ドンキＨＤ
4922	0.3	10050	11470	10020	10560	40	0.39	0	10541	コーセー
4521	0.31	5150	5690	5090	5360	20	0.39	0	5350	科研薬
2121	0.12	3870	4345	3750	4020	10	0.27	0	4015	ミクシィ
7832	0.31	2488	2676	2464	2594	5	0.23	0	2591	バンナムＨＤ
4837	0.18	495	510	480	502	-1	0	0	502	シダックス
8303	0.45	233	248	228	239	-1	0	0	239	新生銀
8411	0.65	221	241	219	228	-1	0	0	228	みずほＦＧ
8306	0.63	717	798	716	744	-2	-0.13	0	745	三菱ＵＦＪ
8214	0.34	1333	1433	1333	1379	-3	-0.15	0	1380	ＡＯＫＩＨＤ
9962	0.47	5480	5550	5450	5480	-10	-0.16	1	5475	ミスミＧ
3003	0.44	1006	1121	1003	1063	-3	-0.19	0	1064	ヒューリック
6758	0.41	2730	3020	2713	2834	-9	-0.28	0	2838	ソニー
1719	0.34	681	740	663	704	-3	-0.28	0	705	安藤ハザマ
4755	0.38	1542	1666	1531	1594	-6	-0.31	0	1597	楽天
9501	0.4	746	841	711	771	-4	-0.39	0	772	東京電力
4708	0.27	1100	1189	1098	1136	-7	-0.53	0	1139	もしもしＨＬ
6594	0.45	8500	9399	8453	8680	-47	-0.53	0	8703	日電産
3861	0.39	546	572	539	550	-4	-0.55	0	551	王子ＨＤ
7309	0.47	13460	14600	13240	13990	-80	-0.56	0	14029	シマノ
4793	0.15	862	897	831	871	-7	-0.69	0	874	富士通ビー・エス・シー
4114	0.3	1639	1749	1639	1706	-13	-0.7	0	1712	日触媒
1808	0.48	1310	1438	1308	1346	-11	-0.74	0	1351	長谷工
4666	0.19	2176	2279	2123	2208	-18	-0.77	0	2216	パーク２４
4761	-0.11	621	634	621	634	-6	-0.79	0	636	さくらケーシーエス
4641	0.31	2172	2392	2172	2253	-19	-0.8	0	2262	アルプス技研
9766	0.36	2429	2450	2355	2401	-22	-0.87	0	2411	コナミ
9202	0.51	330	366	328	341	-4	-0.88	0	343	ＡＮＡＨＤ
4927	0.34	6290	6830	6230	6530	-60	-0.9	0	6559	ポーラ・オルビスホールディングス
3436	0.4	1041	1130	1001	1042	-11	-0.96	0	1047	SUMCO
8304	0.4	395	435	387	409	-5	-0.98	0	411	あおぞら銀
4912	0.4	989	1085	985	1019	-11	-0.98	0	1024	ライオン
2181	0.37	4770	5030	4620	4790	-50	-1.02	0	4814	テンプＨＤ
2915	0.3	1480	1657	1470	1563	-17	-1.02	0	1571	ケンコーマヨネーズ
6479	0.41	1420	1580	1404	1486	-17	-1.08	0	1494	ミネベア
8795	0.62	1481	1584	1461	1511	-18	-1.13	0	1520	Ｔ＆Ｄ
6146	0.39	8470	9130	8340	8600	-100	-1.15	0	8649	ディスコ
3626	0.35	2470	2637	2470	2563	-31	-1.17	0	2578	ITホールディングス
3639	0.16	1341	1600	1300	1412	-19	-1.27	0	1421	ボルテージ
9603	0.32	3750	4035	3705	3840	-50	-1.28	0	3864	ＨＩＳ
3656	0.14	1330	1485	1260	1361	-19	-1.32	0	1370	KLab
2371	0.34	1775	1972	1740	1825	-25	-1.32	0	1837	カカクコム
6869	0.48	6990	7720	6960	7260	-100	-1.36	0	7309	シスメックス
8358	0.6	2176	2296	2145	2195	-31	-1.37	0	2210	スルガ銀
3664	-0.02	534	618	503	555	-9	-1.44	0	559	モブキャスト
4528	0.35	14020	15170	13870	14210	-220	-1.54	0	14318	小野薬
5110	0.47	1599	1712	1593	1639	-27	-1.59	0	1652	住友ゴ
