Code,Corr,Open,High,Low,Close,Change,Ratio,Trend,Pred,Name
3141,0.28,5500,5820,5450,5820,360,6.2,1,5647,ウエルシア
3641,0.11,3520,3740,3500,3620,220,6.1,0,3525,パピレス
6093,0.17,8850,9300,8810,9100,550,6.05,0,8850,エスクロー・エージェント・ジャパン
3911,0.18,1237,1306,1233,1277,69,5.48,1,1242,Aiming
8897,0.39,530,558,530,555,26,4.86,1,542,タカラレーベ
2593,0.34,2747,2870,2747,2869,128,4.5,1,2806,伊藤園
2331,0.39,5170,5330,5110,5300,230,4.36,1,5188,ALSOK
2413,0.32,2729,2845,2714,2812,112,4.02,1,2757,エムスリー
4587,0.18,14110,14920,14020,14730,590,4.01,1,14495,ペプチドリーム
3291,0.36,2064,2157,2064,2148,80,3.77,1,2110,飯田ＧＨＤ
3349,0.17,15010,15570,14880,15550,580,3.74,1,15261,コスモス薬品
4348,0.28,1174,1210,1168,1210,42,3.55,1,1189,インフォコム
3197,0.27,1792,1873,1760,1873,65,3.52,1,1840,すかいらーく
7974,0.42,24325,25250,24010,25010,840,3.36,1,24603,任天堂
6289,0.12,1545,1595,1541,1592,50,3.2,0,1567,技研製作所
3391,0.29,9580,9870,9540,9860,300,3.05,0,9712,ツルハＨＤ
7451,0.4,2560,2628,2519,2625,79,3.05,1,2585,三菱食品
9989,0.36,6640,6840,6590,6820,200,2.95,0,6722,サンドラッグ
4523,0.45,8099,8285,8083,8274,229,2.78,1,8162,エーザイ
4812,0.36,1433,1452,1395,1452,39,2.75,1,1432,電通国際情報サービス
5929,0.45,912,927,901,925,23,2.59,1,913,三和ホールディングス
4534,0.51,7700,7810,7570,7810,200,2.57,1,7710,持田薬
3817,0.41,2186,2200,2144,2195,55,2.55,1,2168,SRAホールディングス
3606,0.39,155,158,152,158,3,2.53,1,156,レナウン
4568,0.41,2310,2324,2276,2310,57,2.51,1,2282,第一三共
6702,0.32,604,615,598,602,14,2.49,1,595,富士通
7458,0.21,4595,4595,4520,4595,110,2.42,1,4540,第一興商
7483,0.43,2236,2289,2216,2289,53,2.36,1,2262,ドウシシャ
8136,0.34,3910,4005,3860,4005,90,2.27,1,3960,サンリオ
2181,0.38,5250,5450,5120,5420,120,2.23,1,5362,テンプＨＤ
8876,0.38,12140,12710,11970,12710,270,2.13,1,12580,リロＨＬＤ
4719,0.34,1786,1813,1761,1793,37,2.12,1,1774,アルファシステムズ
2875,0.42,4525,4590,4485,4550,95,2.11,1,4502,東洋水
8840,0.47,189,191,186,190,3,2.11,1,188,大京
2915,0.31,1664,1690,1643,1667,34,2.1,1,1650,ケンコーマヨネーズ
2670,0.29,7150,7390,7080,7360,150,2.05,1,7285,ＡＢＣマート
2502,0.41,3920,4003,3860,4002,80,2.02,1,3962,アサヒ
8570,0.54,2778,2812,2696,2756,53,1.96,0,2730,イオンＦＳ
6256,0.25,4870,4895,4830,4895,95,1.96,1,4847,ニューフレア
2317,0.42,1121,1154,1112,1142,21,1.93,1,1131,システナ
9742,0.42,1055,1076,1051,1068,19,1.87,1,1058,アイネス
4793,0.15,907,923,907,923,16,1.84,0,915,富士通ビー・エス・シー
9086,0.44,1996,2060,1970,2050,36,1.8,1,2032,日立物流
1719,0.34,778,795,774,795,13,1.76,1,788,安藤ハザマ
2651,0.37,8590,8710,8520,8660,150,1.74,1,8585,ローソン
1983,0.15,1323,1349,1301,1325,22,1.74,1,1314,東芝プラ
2782,0.05,5680,5850,5650,5850,100,1.73,1,5800,セリア
5938,0.29,2485,2518,2448,2502,42,1.72,1,2481,ＬＩＸＩＬグ
8382,0.59,1772,1810,1749,1799,30,1.72,1,1784,中国銀
2412,0.25,2135,2180,2068,2180,35,1.65,0,2164,ベネフィット・ワン
6754,0.29,802,822,794,809,12,1.61,1,803,アンリツ
3360,0.44,2620,2678,2585,2666,39,1.5,1,2646,シップＨＤ
9936,0.34,4000,4070,3980,4060,60,1.5,1,4030,王将フード
2809,0.34,2640,2677,2626,2676,39,1.49,1,2657,キユーピー
9640,0.12,1220,1243,1220,1243,17,1.45,1,1234,セゾン情報システムズ
9787,0.31,3770,3865,3730,3850,55,1.45,1,3823,イオンディラ
3436,0.39,1135,1174,1092,1117,15,1.43,1,1109,SUMCO
4042,0.4,570,587,563,573,7,1.4,1,569,東ソー
7649,0.38,5780,5880,5740,5860,80,1.38,1,5820,スギＨＤ
9432,0.4,8953,9147,8939,9075,122,1.36,1,8824,ＮＴＴ
9956,0.42,3335,3415,3290,3410,45,1.35,0,3388,バロー
3903,0.05,1214,1266,1207,1256,16,1.35,1,1248,gumi
3905,0.13,587,599,576,593,7,1.35,1,589,データセクション
7701,0.49,1778,1786,1747,1785,23,1.34,1,1773,島津製作所
3512,0.44,520,525,517,525,6,1.33,1,522,日本フェルト
4530,0.39,4160,4245,4105,4205,55,1.33,1,4177,久光薬
6502,0.44,387,387,372,384,4,1.3,1,382,東芝
4666,0.2,2402,2403,2352,2380,28,1.22,0,2366,パーク２４
9613,0.69,5870,5880,5720,5840,70,1.22,1,5805,ＮＴＴデータ
3088,0.31,5770,5870,5670,5830,70,1.22,1,5796,マツキヨＨＤ
2359,0.33,825,853,825,842,9,1.19,1,837,コア
8282,0.31,3820,3885,3755,3870,45,1.19,1,3847,ケーズＨＤ
2780,0.23,3060,3095,3000,3050,35,1.18,1,3032,エンカレッジ・テクノロジ
4967,0.41,9300,9450,9210,9430,110,1.18,1,9375,小林製薬
8508,0.25,1010,1035,1003,1030,11,1.17,1,1024,Ｊトラスト
5012,0.22,1205,1217,1182,1210,13,1.16,1,1203,東燃ゼネ
8043,0.34,346,356,346,350,3,1.14,1,348,スターゼン
4722,0.38,699,709,690,709,7,1.13,1,705,フューチャーアーキテクト
2802,0.52,2647,2691,2623,2671,29,1.12,1,2656,味の素
4569,0.39,2134,2153,2104,2150,23,1.12,1,2138,キョーリン
4768,0.29,6250,6410,6230,6400,70,1.11,0,6365,大塚商会
4681,0.38,3200,3230,3175,3230,35,1.11,1,3212,リゾートトラ
6417,0.4,4630,4685,4580,4665,50,1.09,1,4640,ＳＡＮＫＹＯ
9437,0.39,2515,2560,2501,2538,26,1.06,0,2525,ＮＴＴドコモ
6136,0.37,2416,2460,2386,2459,25,1.06,1,2446,ＯＳＧ
4521,0.31,5680,5740,5570,5730,60,1.06,1,5701,科研薬
4578,0.43,4095,4150,4035,4135,42,1.04,1,4114,大塚ＨＤ
8379,0.59,677,692,667,686,6,1.02,1,683,広島銀
5947,0.28,9000,9110,8940,9090,90,1.0,1,9045,リンナイ
3064,0.27,6020,6170,5960,6140,60,0.99,1,6112,モノタロウ
9065,0.26,604,613,594,610,5,0.98,1,607,山九
7606,0.24,4675,4790,4615,4790,45,0.96,1,4767,Ｕアローズ
8544,0.57,630,645,623,638,5,0.94,1,635,京葉銀
2871,0.48,728,743,727,742,6,0.94,1,739,ニチレイ
4201,0.38,880,881,858,874,7,0.92,1,870,日合成
6465,0.46,7700,7800,7590,7770,70,0.91,1,7735,ホシザキ電機
8327,0.51,333,337,327,337,2,0.89,1,336,西日シ銀
9831,0.34,468,473,461,467,3,0.86,1,465,ヤマダ電
7453,0.24,26890,27200,26400,26960,230,0.86,1,26848,良品計画
8848,0.33,589,598,573,590,4,0.85,1,588,レオパレス
4927,0.34,7200,7300,7150,7260,60,0.84,1,7230,ポーラ・オルビスホールディングス
1881,0.3,2027,2067,2020,2065,16,0.82,1,2057,ＮＩＰＰＯ
1722,0.46,878,878,856,869,6,0.81,1,866,ミサワホーム
1911,0.61,1349,1366,1334,1360,10,0.81,1,1355,住友林
5970,0.39,1229,1256,1210,1251,9,0.8,1,1246,ジーテクト
9948,0.35,2377,2398,2341,2394,18,0.79,1,2385,アークス
