銘柄コード,日経平均との相関係数,始値,高値,安値,終値,前日との差異,前日からの変化率,トレンド (0=下降 1=上昇),回帰分析による予測株価,銘柄名
6093,0.16,8850,9300,8810,9100,550,6.05,0,8850,エスクロー・エージェント・ジャパン
4587,0.18,14110,14920,14020,14730,590,4.01,1,14495,ペプチドリーム
9432,0.39,8953,9147,8939,9075,122,1.36,0,8824,ＮＴＴ
4666,0.2,2351,2435,2337,2396,16,0.71,1,2388,パーク２４
7532,0.37,10460,10630,10460,10500,40,0.39,1,10228,ドンキＨＤ
7003,0.43,190,192,188,188,-1,0.0,0,188,三井造
5970,0.39,1255,1282,1245,1249,-2,-0.08,1,1249,ジーテクト
4761,-0.09,660,660,652,652,-2,-0.15,0,652,さくらケーシーエス
9962,0.45,5480,5550,5450,5480,-10,-0.16,1,5475,ミスミＧ
1417,0.36,1132,1174,1126,1133,-3,-0.18,0,1134,ミライト・ホールディングス
7458,0.21,4615,4625,4560,4585,-10,-0.2,1,4589,第一興商
6370,0.46,2571,2614,2520,2520,-6,-0.2,0,2522,栗田工
2702,0.25,2665,2680,2655,2663,-7,-0.23,1,2666,マクドナルド
4185,0.43,1900,1944,1881,1902,-6,-0.26,0,1904,ＪＳＲ
7451,0.39,2616,2727,2594,2617,-8,-0.27,1,2620,三菱食品
4793,0.15,923,923,893,919,-4,-0.33,1,920,富士通ビー・エス・シー
1719,0.34,791,809,784,791,-4,-0.38,1,792,安藤ハザマ
4208,0.38,214,214,208,208,-2,-0.48,0,208,宇部興
6473,0.52,1721,1748,1699,1699,-10,-0.53,0,1703,ジェイテクト
8051,0.53,950,974,938,944,-6,-0.53,0,946,山善
9766,0.37,2700,2719,2633,2639,-25,-0.91,0,2651,コナミ
6301,0.44,2009,2034,1991,1994,-20,-0.95,0,2004,コマツ
2294,0.22,1891,1898,1870,1870,-19,-0.96,0,1879,柿安本店
4837,0.19,516,517,511,511,-6,-0.98,1,513,シダックス
3360,0.44,2665,2702,2635,2635,-31,-1.14,1,2650,シップＨＤ
5929,0.45,921,935,911,911,-14,-1.43,1,917,三和ホールディングス
4004,0.45,139,140,135,136,-3,-1.47,0,137,昭電工
6361,0.3,477,480,468,476,-8,-1.47,0,479,荏原
8358,0.6,2325,2330,2290,2290,-36,-1.53,0,2307,スルガ銀
8227,0.35,11260,11350,11020,11040,-170,-1.53,0,11123,しまむら
8002,0.49,665,670,654,654,-11,-1.53,0,659,丸紅
1963,0.26,1802,1815,1745,1745,-28,-1.55,0,1758,日揮
4832,0.05,1161,1170,1157,1161,-19,-1.55,0,1170,JFEシステムズ
5393,0.34,764,782,756,763,-13,-1.57,0,769,ニチアス
9684,0.32,3160,3210,3110,3115,-50,-1.57,0,3139,スクウェア・エニックス・ホールディングス
4722,0.38,702,704,684,697,-12,-1.58,1,702,フューチャーアーキテクト
8214,0.36,1461,1478,1436,1440,-24,-1.6,0,1451,ＡＯＫＩＨＤ
8031,0.4,1578,1591,1552,1552,-26,-1.61,0,1565,三井物
1721,0.36,1516,1534,1485,1485,-25,-1.62,0,1497,コムシスＨＤ
8114,0.46,1690,1737,1659,1660,-28,-1.63,1,1673,デサント
3861,0.38,564,575,552,552,-10,-1.63,1,556,王子ＨＤ
9602,0.45,2735,2748,2676,2691,-45,-1.64,0,2713,東宝
1802,0.42,1054,1065,1032,1032,-18,-1.65,0,1040,大林組
5233,0.38,412,413,403,403,-8,-1.74,0,406,太平洋セメ
8586,0.44,2884,2902,2846,2869,-52,-1.78,0,2894,日立キャピ
4719,0.34,1805,1830,1740,1760,-33,-1.82,1,1776,アルファシステムズ
3636,0.42,2966,3020,2936,2945,-55,-1.83,1,2972,三菱総合研究所
8304,0.41,440,444,435,435,-9,-1.84,0,439,あおぞら銀
8356,0.62,495,502,486,486,-10,-1.85,0,490,十六銀
7483,0.43,2289,2299,2242,2246,-43,-1.87,1,2267,ドウシシャ
1951,0.45,1247,1257,1223,1223,-24,-1.88,0,1234,協エクシオ
5196,0.3,582,589,575,578,-12,-1.9,0,583,鬼ゴム
7177,0.32,731,743,720,729,-15,-1.92,0,736,GMOクリックホールディングス
8379,0.59,685,698,672,672,-14,-1.93,1,678,広島銀
6703,0.44,211,213,205,207,-5,-1.93,0,209,ＯＫＩ
4348,0.28,1220,1234,1173,1186,-24,-1.94,1,1197,インフォコム
6417,0.4,4650,4650,4565,4575,-90,-1.95,1,4619,ＳＡＮＫＹＯ
6861,0.54,56200,57500,55300,55300,-1090,-1.97,0,55838,キーエンス
1801,0.46,819,828,805,805,-17,-1.99,1,813,大成建
9435,0.23,8120,8140,7920,7920,-160,-2.01,1,7998,光通信
5012,0.22,1210,1218,1184,1185,-25,-2.03,1,1197,東燃ゼネ
5706,0.36,249,250,242,243,-6,-2.06,0,245,三井金
8508,0.25,1028,1036,1005,1008,-22,-2.08,1,1018,Ｊトラスト
8729,0.46,2249,2288,2218,2226,-48,-2.11,1,2249,ソニーＦＨ
9048,0.46,478,479,471,472,-11,-2.12,0,477,名鉄
7751,0.43,3697,3704,3627,3627,-80,-2.18,0,3667,キヤノン
7013,0.55,376,376,367,367,-9,-2.18,0,371,ＩＨＩ
6954,0.58,19525,19850,19280,19290,-425,-2.2,0,19502,ファナック
8333,0.62,645,649,634,634,-15,-2.21,0,641,常陽銀
5857,0.35,1788,1828,1760,1760,-40,-2.22,0,1779,アサヒＨＤ
8566,0.55,3385,3385,3310,3320,-75,-2.23,0,3357,リコーリース
6460,0.4,1270,1275,1250,1250,-29,-2.24,0,1264,セガサミー
8309,0.59,505,506,489,489,-12,-2.25,0,495,三井住友トラ
5214,0.37,541,546,522,523,-13,-2.29,0,529,日電硝
7731,0.4,1547,1557,1517,1519,-36,-2.3,0,1536,ニコン
2359,0.33,840,840,817,822,-20,-2.31,1,831,コア
8418,0.61,1483,1499,1463,1463,-35,-2.32,0,1480,山口ＦＧ
7296,0.33,1833,1839,1802,1807,-43,-2.32,0,1828,ＦＣＣ
2670,0.29,7390,7580,7170,7190,-170,-2.35,1,7274,ＡＢＣマート
8933,0.5,1120,1128,1101,1106,-27,-2.35,0,1119,ＮＴＴ都市
6474,0.43,553,558,546,546,-14,-2.38,0,552,不二越
2726,0.18,3580,3640,3510,3525,-85,-2.38,1,3567,パル
7595,0.48,1713,1713,1673,1677,-41,-2.39,1,1697,アルゴグラフィックス
8334,0.58,808,814,791,791,-20,-2.4,0,800,群馬銀
8385,0.64,1353,1367,1327,1327,-33,-2.41,0,1343,伊予銀
5201,0.43,720,725,703,703,-18,-2.42,0,711,旭硝子
